LOCALIDAD,CODIGO-POSTAL,USO,MES,CONSUMO (M3)
ALICANTE,00000,NO DOMESTICO,1,759
ALICANTE,00000,NO DOMESTICO,2,527
ALICANTE,00000,NO DOMESTICO,3,522
ALICANTE,00000,NO DOMESTICO,4,471
ALICANTE,00000,NO DOMESTICO,5,934
ALICANTE,00000,NO DOMESTICO,6,16
ALICANTE,00000,NO DOMESTICO,7,94
ALICANTE,00000,NO DOMESTICO,8,39
ALICANTE,00000,NO DOMESTICO,9,51
ALICANTE,00000,NO DOMESTICO,10,322
ALICANTE,00000,NO DOMESTICO,12,70
ALICANTE,03001,DOMESTICO,1,57.655
ALICANTE,03001,DOMESTICO,2,84
ALICANTE,03001,DOMESTICO,3,112
ALICANTE,03001,DOMESTICO,4,57.273
ALICANTE,03001,DOMESTICO,5,265
ALICANTE,03001,DOMESTICO,6,190
ALICANTE,03001,DOMESTICO,7,61.296
ALICANTE,03001,DOMESTICO,8,139
ALICANTE,03001,DOMESTICO,9,115
ALICANTE,03001,DOMESTICO,10,55.105
ALICANTE,03001,DOMESTICO,11,278
ALICANTE,03001,DOMESTICO,12,185
ALICANTE,03001,NO DOMESTICO,1,67.185
ALICANTE,03001,NO DOMESTICO,2,38.396
ALICANTE,03001,NO DOMESTICO,3,37.595
ALICANTE,03001,NO DOMESTICO,4,60.100
ALICANTE,03001,NO DOMESTICO,5,43.045
ALICANTE,03001,NO DOMESTICO,6,41.755
ALICANTE,03001,NO DOMESTICO,7,69.319
ALICANTE,03001,NO DOMESTICO,8,49.323
ALICANTE,03001,NO DOMESTICO,9,38.805
ALICANTE,03001,NO DOMESTICO,10,58.160
ALICANTE,03001,NO DOMESTICO,11,30.140
ALICANTE,03001,NO DOMESTICO,12,24.993
ALICANTE,03002,DOMESTICO,1,57.447
ALICANTE,03002,DOMESTICO,2,1.302
ALICANTE,03002,DOMESTICO,3,400
ALICANTE,03002,DOMESTICO,4,57.257
ALICANTE,03002,DOMESTICO,5,1.468
ALICANTE,03002,DOMESTICO,6,656
ALICANTE,03002,DOMESTICO,7,65.724
ALICANTE,03002,DOMESTICO,8,961
ALICANTE,03002,DOMESTICO,9,681
ALICANTE,03002,DOMESTICO,10,67.769
ALICANTE,03002,DOMESTICO,11,1.296
ALICANTE,03002,DOMESTICO,12,2.259
ALICANTE,03002,NO DOMESTICO,1,29.014
ALICANTE,03002,NO DOMESTICO,2,10.346
ALICANTE,03002,NO DOMESTICO,3,10.034
ALICANTE,03002,NO DOMESTICO,4,29.800
ALICANTE,03002,NO DOMESTICO,5,13.375
ALICANTE,03002,NO DOMESTICO,6,10.419
ALICANTE,03002,NO DOMESTICO,7,35.875
ALICANTE,03002,NO DOMESTICO,8,13.867
ALICANTE,03002,NO DOMESTICO,9,10.515
ALICANTE,03002,NO DOMESTICO,10,32.915
ALICANTE,03002,NO DOMESTICO,11,9.172
ALICANTE,03002,NO DOMESTICO,12,7.101
ALICANTE,03003,DOMESTICO,1,118.135
ALICANTE,03003,DOMESTICO,2,2.782
ALICANTE,03003,DOMESTICO,3,387
ALICANTE,03003,DOMESTICO,4,118.295
ALICANTE,03003,DOMESTICO,5,2.778
ALICANTE,03003,DOMESTICO,6,163
ALICANTE,03003,DOMESTICO,7,113.093
ALICANTE,03003,DOMESTICO,8,2.381
ALICANTE,03003,DOMESTICO,9,429
ALICANTE,03003,DOMESTICO,10,108.335
ALICANTE,03003,DOMESTICO,11,2.886
ALICANTE,03003,DOMESTICO,12,90
ALICANTE,03003,NO DOMESTICO,1,29.881
ALICANTE,03003,NO DOMESTICO,2,10.687
ALICANTE,03003,NO DOMESTICO,3,9.149
ALICANTE,03003,NO DOMESTICO,4,28.641
ALICANTE,03003,NO DOMESTICO,5,12.358
ALICANTE,03003,NO DOMESTICO,6,13.751
ALICANTE,03003,NO DOMESTICO,7,34.251
ALICANTE,03003,NO DOMESTICO,8,14.835
ALICANTE,03003,NO DOMESTICO,9,14.090
ALICANTE,03003,NO DOMESTICO,10,30.441
ALICANTE,03003,NO DOMESTICO,11,11.311
ALICANTE,03003,NO DOMESTICO,12,7.224
ALICANTE,03004,DOMESTICO,1,6.881
ALICANTE,03004,DOMESTICO,2,130.469
ALICANTE,03004,DOMESTICO,3,549
ALICANTE,03004,DOMESTICO,4,7.436
ALICANTE,03004,DOMESTICO,5,131.231
ALICANTE,03004,DOMESTICO,6,572
ALICANTE,03004,DOMESTICO,7,6.400
ALICANTE,03004,DOMESTICO,8,137.383
ALICANTE,03004,DOMESTICO,9,447
ALICANTE,03004,DOMESTICO,10,6.033
ALICANTE,03004,DOMESTICO,11,133.433
ALICANTE,03004,DOMESTICO,12,646
ALICANTE,03004,NO DOMESTICO,1,6.338
ALICANTE,03004,NO DOMESTICO,2,19.175
ALICANTE,03004,NO DOMESTICO,3,3.430
ALICANTE,03004,NO DOMESTICO,4,6.497
