LOCALIDAD,BARRIO,MES,CONSUMO_2024
ALICANTE,10-FLORIDA BAJA,1,3030
ALICANTE,10-FLORIDA BAJA,2,3186
ALICANTE,10-FLORIDA BAJA,3,3457
ALICANTE,10-FLORIDA BAJA,4,2955
ALICANTE,10-FLORIDA BAJA,5,2270
ALICANTE,10-FLORIDA BAJA,6,2614
ALICANTE,10-FLORIDA BAJA,7,2821
ALICANTE,10-FLORIDA BAJA,8,4710
ALICANTE,10-FLORIDA BAJA,9,4833
ALICANTE,10-FLORIDA BAJA,10,4387
ALICANTE,10-FLORIDA BAJA,11,799
ALICANTE,10-FLORIDA BAJA,12,1723
ALICANTE,11-CIUDAD DE ASIS,1,228
ALICANTE,11-CIUDAD DE ASIS,2,190
ALICANTE,11-CIUDAD DE ASIS,3,126
ALICANTE,11-CIUDAD DE ASIS,4,153
ALICANTE,11-CIUDAD DE ASIS,5,497
ALICANTE,11-CIUDAD DE ASIS,6,494
ALICANTE,11-CIUDAD DE ASIS,7,565
ALICANTE,11-CIUDAD DE ASIS,8,612
ALICANTE,11-CIUDAD DE ASIS,9,579
ALICANTE,11-CIUDAD DE ASIS,10,295
ALICANTE,11-CIUDAD DE ASIS,11,356
ALICANTE,11-CIUDAD DE ASIS,12,101
ALICANTE,12-POLIGONO BABEL,1,482
ALICANTE,12-POLIGONO BABEL,2,471
ALICANTE,12-POLIGONO BABEL,3,346
ALICANTE,12-POLIGONO BABEL,4,333
ALICANTE,12-POLIGONO BABEL,5,445
ALICANTE,12-POLIGONO BABEL,6,505
ALICANTE,12-POLIGONO BABEL,7,964
ALICANTE,12-POLIGONO BABEL,8,573
ALICANTE,12-POLIGONO BABEL,9,146
ALICANTE,12-POLIGONO BABEL,10,1046
ALICANTE,12-POLIGONO BABEL,11,455
ALICANTE,12-POLIGONO BABEL,12,576
ALICANTE,15-POLIGONO SAN BLAS,1,1976
ALICANTE,15-POLIGONO SAN BLAS,2,2386
ALICANTE,15-POLIGONO SAN BLAS,3,2328
ALICANTE,15-POLIGONO SAN BLAS,4,2269
ALICANTE,15-POLIGONO SAN BLAS,5,2270
ALICANTE,15-POLIGONO SAN BLAS,6,1283
ALICANTE,15-POLIGONO SAN BLAS,7,2905
ALICANTE,15-POLIGONO SAN BLAS,8,3776
ALICANTE,15-POLIGONO SAN BLAS,9,2620
ALICANTE,15-POLIGONO SAN BLAS,10,2999
ALICANTE,15-POLIGONO SAN BLAS,11,1521
ALICANTE,15-POLIGONO SAN BLAS,12,2092
ALICANTE,19-GARBINET,1,1262
ALICANTE,19-GARBINET,2,789
ALICANTE,19-GARBINET,3,791
ALICANTE,19-GARBINET,4,1167
ALICANTE,19-GARBINET,5,1750
ALICANTE,19-GARBINET,6,1323
ALICANTE,19-GARBINET,7,1795
ALICANTE,19-GARBINET,8,1700
ALICANTE,19-GARBINET,9,1747
ALICANTE,19-GARBINET,10,2092
ALICANTE,19-GARBINET,11,1522
ALICANTE,19-GARBINET,12,1340
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,1,3417
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,2,3423
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,3,7879
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,4,5122
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,5,6202
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,6,5406
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,7,7781
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,8,8655
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,9,2439
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,10,1905
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,11,2199
ALICANTE,22-CASCO ANTIGUO - SANTA CRUZ,12,3470
ALICANTE,24-SAN BLAS - SANTO DOMINGO,1,473
ALICANTE,24-SAN BLAS - SANTO DOMINGO,2,299
ALICANTE,24-SAN BLAS - SANTO DOMINGO,3,163
ALICANTE,24-SAN BLAS - SANTO DOMINGO,4,396
ALICANTE,24-SAN BLAS - SANTO DOMINGO,5,1200
ALICANTE,24-SAN BLAS - SANTO DOMINGO,6,549
ALICANTE,24-SAN BLAS - SANTO DOMINGO,7,784
ALICANTE,24-SAN BLAS - SANTO DOMINGO,8,1192
ALICANTE,24-SAN BLAS - SANTO DOMINGO,9,898
ALICANTE,24-SAN BLAS - SANTO DOMINGO,10,1229
ALICANTE,24-SAN BLAS - SANTO DOMINGO,11,790
ALICANTE,24-SAN BLAS - SANTO DOMINGO,12,600
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,1,150
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,2,190
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,3,186
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,4,152
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,5,115
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,6,66
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,7,1185
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,8,0
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,9,0
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,10,1792
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,11,303
ALICANTE,27-SAN FERNANDO-PRIN. MERCEDES,12,116
ALICANTE,28-EL PALMERAL,1,6817
ALICANTE,28-EL PALMERAL,2,4491
ALICANTE,28-EL PALMERAL,3,5165
ALICANTE,28-EL PALMERAL,4,5700
ALICANTE,28-EL PALMERAL,5,5058
ALICANTE,28-EL PALMERAL,6,6401
ALICANTE,28-EL PALMERAL,7,8579
ALICANTE,28-EL PALMERAL,8,7362
ALICANTE,28-EL PALMERAL,9,8340
ALICANTE,28-EL PALMERAL,10,6341
ALICANTE,28-EL PALMERAL,11,7155
ALICANTE,28-EL PALMERAL,12,4874
ALICANTE,33- MORANT -SAN NICOLAS BARI,1,2058
ALICANTE,33- MORANT -SAN NICOLAS BARI,2,1616
ALICANTE,33- MORANT -SAN NICOLAS BARI,3,1337
ALICANTE,33- MORANT -SAN NICOLAS BARI,4,1613
ALICANTE,33- MORANT -SAN NICOLAS BARI,5,2296
ALICANTE,33- MORANT -SAN NICOLAS BARI,6,3265
ALICANTE,33- MORANT -SAN NICOLAS BARI,7,6687
ALICANTE,33- MORANT -SAN NICOLAS BARI,8,2800
ALICANTE,33- MORANT -SAN NICOLAS BARI,9,3104
ALICANTE,33- MORANT -SAN NICOLAS BARI,10,2290
ALICANTE,33- MORANT -SAN NICOLAS BARI,11,1125
ALICANTE,33- MORANT -SAN NICOLAS BARI,12,1600
ALICANTE,35-VIRGEN DEL CARMEN,1,3921
ALICANTE,35-VIRGEN DEL CARMEN,2,4479
ALICANTE,35-VIRGEN DEL CARMEN,3,5403
ALICANTE,35-VIRGEN DEL CARMEN,4,3933
ALICANTE,35-VIRGEN DEL CARMEN,5,2668
ALICANTE,35-VIRGEN DEL CARMEN,6,0
ALICANTE,35-VIRGEN DEL CARMEN,7,0
ALICANTE,35-VIRGEN DEL CARMEN,8,4691
ALICANTE,35-VIRGEN DEL CARMEN,9,1340
ALICANTE,35-VIRGEN DEL CARMEN,10,3426
ALICANTE,35-VIRGEN DEL CARMEN,11,4063
ALICANTE,35-VIRGEN DEL CARMEN,12,3266
ALICANTE,37-JUAN XXIII,1,8820
ALICANTE,37-JUAN XXIII,2,7708
ALICANTE,37-JUAN XXIII,3,8781
ALICANTE,37-JUAN XXIII,4,9408
ALICANTE,37-JUAN XXIII,5,9576
ALICANTE,37-JUAN XXIII,6,10266
ALICANTE,37-JUAN XXIII,7,12920
ALICANTE,37-JUAN XXIII,8,12877
ALICANTE,37-JUAN XXIII,9,10497
ALICANTE,37-JUAN XXIII,10,9808
ALICANTE,37-JUAN XXIII,11,5011
ALICANTE,37-JUAN XXIII,12,9474
ALICANTE,38-VISTAHERMOSA,1,11057
ALICANTE,38-VISTAHERMOSA,2,8454
ALICANTE,38-VISTAHERMOSA,3,12780
ALICANTE,38-VISTAHERMOSA,4,10147
ALICANTE,38-VISTAHERMOSA,5,14796
ALICANTE,38-VISTAHERMOSA,6,17597
ALICANTE,38-VISTAHERMOSA,7,13735
ALICANTE,38-VISTAHERMOSA,8,13906
ALICANTE,38-VISTAHERMOSA,9,16028
ALICANTE,38-VISTAHERMOSA,10,13468
ALICANTE,38-VISTAHERMOSA,11,8665
ALICANTE,38-VISTAHERMOSA,12,8578
ALICANTE,41-PLAYA DE SAN JUAN,1,30685
ALICANTE,41-PLAYA DE SAN JUAN,2,26513
ALICANTE,41-PLAYA DE SAN JUAN,3,45721
ALICANTE,41-PLAYA DE SAN JUAN,4,69058
ALICANTE,41-PLAYA DE SAN JUAN,5,83612
ALICANTE,41-PLAYA DE SAN JUAN,6,89860
ALICANTE,41-PLAYA DE SAN JUAN,7,101395
ALICANTE,41-PLAYA DE SAN JUAN,8,85496
ALICANTE,41-PLAYA DE SAN JUAN,9,69286
ALICANTE,41-PLAYA DE SAN JUAN,10,74648
ALICANTE,41-PLAYA DE SAN JUAN,11,31434
ALICANTE,41-PLAYA DE SAN JUAN,12,32493
ALICANTE,56-DISPERSOS,1,0
ALICANTE,56-DISPERSOS,2,0
ALICANTE,56-DISPERSOS,3,0
ALICANTE,56-DISPERSOS,4,0
ALICANTE,56-DISPERSOS,5,0
ALICANTE,56-DISPERSOS,7,0
ALICANTE,56-DISPERSOS,8,0
ALICANTE,56-DISPERSOS,9,0
ALICANTE,56-DISPERSOS,10,57436
ALICANTE,56-DISPERSOS,12,1730
ALICANTE,6-LOS ANGELES,1,103
ALICANTE,6-LOS ANGELES,2,84
ALICANTE,6-LOS ANGELES,3,85
ALICANTE,6-LOS ANGELES,4,47
ALICANTE,6-LOS ANGELES,5,90
ALICANTE,6-LOS ANGELES,6,123
ALICANTE,6-LOS ANGELES,7,125
ALICANTE,6-LOS ANGELES,8,119
ALICANTE,6-LOS ANGELES,9,103
