EXPLOTACION,AÑO,MES,MOTIVO,TIPO CLIENTE,USO,ACTIVIDAD,CANTIDAD
ALICANTE,2.020,1,Alta nueva,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,1
ALICANTE,2.020,1,Alta nueva,Particular,NO DOMÉSTICO,RIEGO AGUA REUTILIZADA,1
ALICANTE,2.020,1,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,152
ALICANTE,2.020,1,Alta nueva,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,2
ALICANTE,2.020,1,Alta nueva,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,4
ALICANTE,2.020,1,Alta nueva,Particular,NO DOMÉSTICO,OBRAS,8
ALICANTE,2.020,1,Alta nueva,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),7
ALICANTE,2.020,1,Cambio titular,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,5
ALICANTE,2.020,1,Cambio titular,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,1
ALICANTE,2.020,1,Cambio titular,Particular,NO DOMÉSTICO,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.020,1,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,33
ALICANTE,2.020,1,Procede de baja,Particular,NO DOMÉSTICO,ALMACENES Y NAVES DE MERCANCIAS,1
ALICANTE,2.020,1,Procede de baja,Particular,NO DOMÉSTICO,INSTALACIONES DEPORTIVAS/CLUBS DEPORTIVOS,1
ALICANTE,2.020,1,Procede de baja,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,1
ALICANTE,2.020,1,Procede de baja,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,3
ALICANTE,2.020,1,Procede de baja,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",2
ALICANTE,2.020,1,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,56
ALICANTE,2.020,1,Procede de baja,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,21
ALICANTE,2.020,2,Alta nueva,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,1
ALICANTE,2.020,2,Alta nueva,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),6
ALICANTE,2.020,2,Alta nueva,Particular,SERV. CONTRAINCENDIOS,BOCA INCENDIO EXTERNA,1
ALICANTE,2.020,2,Alta nueva,Particular,NO DOMÉSTICO,OBRAS,8
ALICANTE,2.020,2,Alta nueva,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,2
ALICANTE,2.020,2,Alta nueva,Particular,DOMÉSTICO,DESCALCIFICADORES,1
ALICANTE,2.020,2,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,111
ALICANTE,2.020,2,Alta nueva,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,8
ALICANTE,2.020,2,Alta nueva,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",1
ALICANTE,2.020,2,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,37
ALICANTE,2.020,2,Cambio titular,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,5
ALICANTE,2.020,2,Cambio titular,Particular,NO DOMÉSTICO,CENTROS DE ENSEÑANZA,1
ALICANTE,2.020,2,Procede de baja,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",1
ALICANTE,2.020,2,Procede de baja,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,3
ALICANTE,2.020,2,Procede de baja,Particular,NO DOMÉSTICO,BARES SIN RESTAURACION Y CAFETERIAS,1
