AÑO,TRIMESTRE,Explotación,TOTAL Volumen agua potable registrada (m³)
2020,1,Alicante,4745613
2020,2,Alicante,4638840
2020,3,Alicante,6014075
2020,4,Alicante,5345197
2021,1,Alicante,4756850
2021,2,Alicante,4852555
2021,3,Alicante,5958410
2021,4,Alicante,5282889
2022,1,Alicante,4836457
2022,2,Alicante,4974253
2022,3,Alicante,6381700
2022,4,Alicante,5590541
2023,1,Alicante,4951588
2023,2,Alicante,5526214
2023,3,Alicante,6329781
2023,4,Alicante,5763256
2024,1,Alicante,5245025
2024,2,Alicante,5661467
2024,3,Alicante,6540271
2024,4,Alicante,5812841
2025,1,Alicante,5252813
2025,2,Alicante,5400161
2025,3,Alicante,6640346
2025,4,Alicante,5960744
