year,use,dwellings,area_m2
1900,3_industrial,0,1154.0
1986,1_residential,42,4936.0
1984,1_residential,28,3268.0
1982,4_3_publicServices,0,5313.0
1982,1_residential,72,10227.0
1972,1_residential,56,5446.0
1973,1_residential,84,6562.0
1978,1_residential,108,10661.0
1979,1_residential,16,1665.0
1971,1_residential,24,2907.0
2000,1_residential,43,10204.0
1995,1_residential,90,16897.0
1997,1_residential,54,10746.0
1994,1_residential,95,16159.0
1995,1_residential,54,11092.0
1996,1_residential,98,19271.0
1961,1_residential,9,751.0
1961,1_residential,10,670.0
1961,1_residential,10,670.0
1987,1_residential,21,2860.0
1961,1_residential,8,760.0
1961,1_residential,10,680.0
1961,1_residential,10,660.0
1961,1_residential,10,670.0
1961,1_residential,10,670.0
1972,1_residential,28,2191.0
1972,1_residential,28,2191.0
1978,1_residential,28,2191.0
1972,1_residential,28,2191.0
1968,1_residential,28,2191.0
1978,1_residential,57,9244.0
1985,1_residential,28,5798.0
1979,1_residential,10,1072.0
1975,1_residential,10,1054.0
1980,1_residential,10,1195.0
1979,1_residential,56,7787.0
1900,1_residential,1,695.0
1990,1_residential,1,165.0
2022,1_residential,1,175.0
2001,1_residential,1,113.0
1925,1_residential,1,66.0
1920,1_residential,1,110.0
1999,1_residential,24,3766.0
1991,1_residential,88,19082.0
1990,3_industrial,0,208.0
2009,4_3_publicServices,0,1623.0
1925,1_residential,1,76.0
1998,4_3_publicServices,0,7432.0
1970,1_residential,20,1486.0
1977,1_residential,83,7543.0
1966,1_residential,10,800.0
1966,1_residential,10,810.0
1966,1_residential,10,800.0
1966,1_residential,10,810.0
1966,1_residential,10,800.0
1974,1_residential,16,1252.0
1966,1_residential,10,820.0
1966,1_residential,10,800.0
1966,1_residential,10,800.0
1968,1_residential,10,1010.0
1969,1_residential,10,1015.0
1970,1_residential,10,1020.0
1972,1_residential,10,1020.0
1972,1_residential,10,1020.0
1972,1_residential,10,1030.0
1972,1_residential,10,1020.0
1972,1_residential,10,738.0
1972,1_residential,10,1019.0
1972,1_residential,10,1020.0
1968,1_residential,10,1022.0
1968,1_residential,10,1020.0
1968,1_residential,10,1022.0
1965,1_residential,10,810.0
