Barrio,Uso,Fecha (aaaa/mm/dd),Consumo (litros),Nº Contratos
10-FLORIDA BAJA,COMERCIAL,2022/01/31,"511,019",91
10-FLORIDA BAJA,DOMESTICO,2022/01/31,"29,205,005","4,665"
10-FLORIDA BAJA,NO DOMESTICO,2022/01/31,"4,362,320",418
11-CIUDAD DE ASIS,COMERCIAL,2022/01/31,"1,700,222",87
11-CIUDAD DE ASIS,DOMESTICO,2022/01/31,"14,650,197","2,259"
11-CIUDAD DE ASIS,NO DOMESTICO,2022/01/31,"15,321,731",521
12-POLIGONO BABEL,COMERCIAL,2022/01/31,"710,238",73
12-POLIGONO BABEL,DOMESTICO,2022/01/31,"40,299,678","5,754"
12-POLIGONO BABEL,NO DOMESTICO,2022/01/31,"4,356,027",264
13-SAN GABRIEL,COMERCIAL,2022/01/31,"124,319",26
13-SAN GABRIEL,DOMESTICO,2022/01/31,"15,581,370","2,181"
13-SAN GABRIEL,NO DOMESTICO,2022/01/31,"2,449,085",156
14-ENSANCHE DIPUTACION,COMERCIAL,2022/01/31,"1,564,180",339
14-ENSANCHE DIPUTACION,DOMESTICO,2022/01/31,"40,926,733","6,966"
14-ENSANCHE DIPUTACION,NO DOMESTICO,2022/01/31,"12,563,974","1,216"
15-POLIGONO SAN BLAS,COMERCIAL,2022/01/31,"473,771",88
15-POLIGONO SAN BLAS,DOMESTICO,2022/01/31,"68,266,915","8,988"
15-POLIGONO SAN BLAS,NO DOMESTICO,2022/01/31,"8,881,822",340
16-PLA DEL BON REPOS,COMERCIAL,2022/01/31,"466,025",77
16-PLA DEL BON REPOS,DOMESTICO,2022/01/31,"27,004,954","5,243"
16-PLA DEL BON REPOS,NO DOMESTICO,2022/01/31,"2,011,239",308
17-CAROLINAS ALTAS,COMERCIAL,2022/01/31,"455,280",126
17-CAROLINAS ALTAS,DOMESTICO,2022/01/31,"44,354,205","7,268"
17-CAROLINAS ALTAS,NO DOMESTICO,2022/01/31,"9,863,868",656
18-CAROLINAS BAJAS,COMERCIAL,2022/01/31,"129,907",61
18-CAROLINAS BAJAS,DOMESTICO,2022/01/31,"17,877,301","3,224"
18-CAROLINAS BAJAS,NO DOMESTICO,2022/01/31,"1,210,211",284
19-GARBINET,COMERCIAL,2022/01/31,"798,082",84
19-GARBINET,DOMESTICO,2022/01/31,"40,698,609","5,329"
19-GARBINET,NO DOMESTICO,2022/01/31,"5,574,428",268
1-BENALUA,COMERCIAL,2022/01/31,"524,679",132
1-BENALUA,DOMESTICO,2022/01/31,"24,661,986","4,440"
1-BENALUA,NO DOMESTICO,2022/01/31,"2,393,822",513
20-RABASA,COMERCIAL,2022/01/31,"47,156",5
20-RABASA,DOMESTICO,2022/01/31,"6,989,210",973
20-RABASA,NO DOMESTICO,2022/01/31,"3,860,114",68
21-TOMBOLA,COMERCIAL,2022/01/31,"13,810",4
21-TOMBOLA,DOMESTICO,2022/01/31,"6,877,195",983
21-TOMBOLA,NO DOMESTICO,2022/01/31,"108,921",53
22-CASCO ANTIGUO - SANTA CRUZ,COMERCIAL,2022/01/31,"831,698",99
22-CASCO ANTIGUO - SANTA CRUZ,DOMESTICO,2022/01/31,"7,768,606","1,689"
22-CASCO ANTIGUO - SANTA CRUZ,NO DOMESTICO,2022/01/31,"4,404,741",354
23-RAVAL ROIG -V. DEL SOCORRO,COMERCIAL,2022/01/31,"28,487",7
23-RAVAL ROIG -V. DEL SOCORRO,DOMESTICO,2022/01/31,"4,263,479","1,009"
23-RAVAL ROIG -V. DEL SOCORRO,NO DOMESTICO,2022/01/31,"222,391",70
24-SAN BLAS - SANTO DOMINGO,COMERCIAL,2022/01/31,"230,418",62
24-SAN BLAS - SANTO DOMINGO,DOMESTICO,2022/01/31,"22,093,525","3,831"
24-SAN BLAS - SANTO DOMINGO,NO DOMESTICO,2022/01/31,"1,539,593",398
25-ALTOZANO - CONDE LUMIARES,COMERCIAL,2022/01/31,"373,907",62
25-ALTOZANO - CONDE LUMIARES,DOMESTICO,2022/01/31,"24,822,757","3,847"
25-ALTOZANO - CONDE LUMIARES,NO DOMESTICO,2022/01/31,"1,572,295",280
26-SIDI IFNI - NOU ALACANT,COMERCIAL,2022/01/31,"43,131",9
26-SIDI IFNI - NOU ALACANT,DOMESTICO,2022/01/31,"4,167,941",705
26-SIDI IFNI - NOU ALACANT,NO DOMESTICO,2022/01/31,"304,132",29
27-SAN FERNANDO-PRIN. MERCEDES,COMERCIAL,2022/01/31,"113,102",16
27-SAN FERNANDO-PRIN. MERCEDES,DOMESTICO,2022/01/31,"8,583,804","1,493"
27-SAN FERNANDO-PRIN. MERCEDES,NO DOMESTICO,2022/01/31,"535,490",62
28-EL PALMERAL,COMERCIAL,2022/01/31,"91,198",17
28-EL PALMERAL,DOMESTICO,2022/01/31,"4,547,223",719
28-EL PALMERAL,NO DOMESTICO,2022/01/31,"15,733,186",64
29-URBANOVA,COMERCIAL,2022/01/31,"236,917",8
29-URBANOVA,DOMESTICO,2022/01/31,"2,972,093","1,350"
29-URBANOVA,NO DOMESTICO,2022/01/31,"886,343",33
2-SAN ANTON,COMERCIAL,2022/01/31,"15,933",12
2-SAN ANTON,DOMESTICO,2022/01/31,"4,518,140",813
2-SAN ANTON,NO DOMESTICO,2022/01/31,"374,637",80
30-DIVINA PASTORA,COMERCIAL,2022/01/31,"179,768",24
30-DIVINA PASTORA,DOMESTICO,2022/01/31,"4,732,736",590
30-DIVINA PASTORA,NO DOMESTICO,2022/01/31,"1,521,514",131
31-CIUDAD JARDIN,COMERCIAL,2022/01/31,210,1
31-CIUDAD JARDIN,DOMESTICO,2022/01/31,"3,045,651",359
31-CIUDAD JARDIN,NO DOMESTICO,2022/01/31,"432,007",10
32-VIRGEN DEL REMEDIO,COMERCIAL,2022/01/31,"104,109",19
32-VIRGEN DEL REMEDIO,DOMESTICO,2022/01/31,"29,515,010","5,220"
32-VIRGEN DEL REMEDIO,NO DOMESTICO,2022/01/31,"1,416,807",122
33- MORANT -SAN NICOLAS BARI,COMERCIAL,2022/01/31,"663,149",24
33- MORANT -SAN NICOLAS BARI,DOMESTICO,2022/01/31,"16,757,732","2,594"
33- MORANT -SAN NICOLAS BARI,NO DOMESTICO,2022/01/31,"793,803",97
34-COLONIA REQUENA,COMERCIAL,2022/01/31,"34,283",7
34-COLONIA REQUENA,DOMESTICO,2022/01/31,"1,893,622",379
34-COLONIA REQUENA,NO DOMESTICO,2022/01/31,"19,643",10
35-VIRGEN DEL CARMEN,COMERCIAL,2022/01/31,,
35-VIRGEN DEL CARMEN,DOMESTICO,2022/01/31,"3,346,719",481
35-VIRGEN DEL CARMEN,NO DOMESTICO,2022/01/31,"210,651",16
36-CUATROCIENTAS VIVIENDAS,COMERCIAL,2022/01/31,467,2
36-CUATROCIENTAS VIVIENDAS,DOMESTICO,2022/01/31,"1,260,631",238
36-CUATROCIENTAS VIVIENDAS,NO DOMESTICO,2022/01/31,"121,053",17
37-JUAN XXIII,COMERCIAL,2022/01/31,"1,324,723",10
37-JUAN XXIII,DOMESTICO,2022/01/31,"12,178,919","2,090"
37-JUAN XXIII,NO DOMESTICO,2022/01/31,"3,225,625",38
38-VISTAHERMOSA,COMERCIAL,2022/01/31,"319,973",21
38-VISTAHERMOSA,DOMESTICO,2022/01/31,"15,644,590","2,135"
38-VISTAHERMOSA,NO DOMESTICO,2022/01/31,"9,495,444",128
39-ALBUFERETA,COMERCIAL,2022/01/31,"346,730",56
39-ALBUFERETA,DOMESTICO,2022/01/31,"38,470,588","7,301"
39-ALBUFERETA,NO DOMESTICO,2022/01/31,"8,377,766",316
3-CENTRO,COMERCIAL,2022/01/31,"2,580,899",293
3-CENTRO,DOMESTICO,2022/01/31,"17,531,628","3,523"
3-CENTRO,NO DOMESTICO,2022/01/31,"6,996,351","1,040"
40-CABO DE LAS HUERTAS,COMERCIAL,2022/01/31,"286,758",32
40-CABO DE LAS HUERTAS,DOMESTICO,2022/01/31,"46,034,645","6,341"
40-CABO DE LAS HUERTAS,NO DOMESTICO,2022/01/31,"5,179,461",168
41-PLAYA DE SAN JUAN,COMERCIAL,2022/01/31,"2,194,494",169
41-PLAYA DE SAN JUAN,DOMESTICO,2022/01/31,"78,586,058","14,297"
41-PLAYA DE SAN JUAN,NO DOMESTICO,2022/01/31,"8,766,164",488
