municipio,distrito,seccion,renta_media,anyo
Alacant/Alicante,,,13681.0,2023
Alicante/Alacant,Alacant/Alicante distrito 01,,20097.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01001,20802.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01002,19164.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01003,19148.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01004,20024.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01005,23751.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01006,19223.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01007,23340.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01008,25065.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01009,20558.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01010,18601.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01011,20009.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01012,13703.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01014,19260.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01015,20162.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01018,20258.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01019,18898.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01020,20072.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01021,21401.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01022,19924.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01023,25594.0,2023
Alicante/Alacant,,Alacant/Alicante sección 01026,13607.0,2023
Alicante/Alacant,Alacant/Alicante distrito 02,,13080.0,2023
Alicante/Alacant,,Alacant/Alicante sección 02001,23198.0,2023
Alicante/Alacant,,Alacant/Alicante sección 02002,18595.0,2023
Alicante/Alacant,,Alacant/Alicante sección 02003,17844.0,2023
Alicante/Alacant,,Alacant/Alicante sección 02005,18015.0,2023
Alicante/Alacant,,Alacant/Alicante sección 02006,19746.0,2023
Alicante/Alacant,,Alacant/Alicante sección 02008,15240.0,2023
