barrio,ndvi_summer_2024,ndvi_winter_2024,ndvi_anomaly_2024,ndvi_summer_2023,ndvi_winter_2023
CUATROCIENTAS VIVIENDAS,0.23850046793619792,0.23201320253569505,0.006487265400502873,0.2498199112113865,0.29932082603717675
PLAYA DE SAN JUAN,0.2370605671494295,0.28002542445896794,-0.042964857309538446,0.26323498537386436,0.33680427240944044
TANGEL,0.2227677633596021,0.3506906642470249,-0.12792290088742278,0.28639354262241096,0.4234593857166379
SANTA FAZ,0.2050290854580431,0.2556982844708914,-0.050669199012848276,0.22454613375376506,0.2926745587084667
SAN ANTON,0.19895500127176316,0.29600713745485663,-0.09705213618309347,0.25073071110089207,0.35537105163863736
VILLAFRANQUEZA - PALAMO,0.19706844505764903,0.2644651169092145,-0.06739667185156545,0.2306826636904762,0.3270196572108174
CIUDAD ELEGIDA,0.19588657397477693,0.28951370773367796,-0.09362713375890103,0.22656685666180507,0.33033167014976195
LO MORANT - SAN NICOLAS DE BARI,0.1923360252579676,0.19468283658241903,-0.0023468113244514144,0.20641534978693182,0.28865302234358675
LA CAMPANETA,0.1921822462974299,0.268648992665322,-0.07646674636789211,0.2617098218021156,0.35690459000889585
GARBINET,0.19012137429365658,0.2223486265821523,-0.03222725228849571,0.2115356133795115,0.2541930462555254
LA SERRETA,0.18690239893247004,0.18102063740769478,0.005881761524775264,0.2009077307296126,0.2729439095275043
BARRIO DE GRANADA,0.18432900512102737,0.22085724988029998,-0.036528244759272605,0.2257322478062898,0.2763123743742415
VISTAHERMOSA,0.1817137421674968,0.2674147980864438,-0.085701055918947,0.21649643630480878,0.30918579785265643
URBANOVA,0.178260574653599,0.21656994201602411,-0.0383093673624251,0.18136803594834042,0.2569780833936948
SERRETA DE LA TORRE,0.17593728591378582,0.19508836134020166,-0.019151075426415837,0.20080125539607047,0.3035826230062535
GRAN VIA SUR,0.17323070418577685,0.21433527552666357,-0.041104571340886714,0.19639521609886765,0.2532358501681048
ALBUFERETA,0.1727305129613784,0.2497092456171483,-0.0769787326557699,0.20600776038830657,0.30148151037615223
CABO DE LAS HUERTAS,0.16404372701812894,0.21692611462074568,-0.05288238760261674,0.18173253578223875,0.24493623866940312
VIRGEN DEL CARMEN,0.16377692176891973,0.15609284584768537,0.007684075921234351,0.16975692082771732,0.2033522405817359
VILLAFRANQUEZA,0.160492098356382,0.25011324740594765,-0.08962114904956564,0.2005133747744927,0.31044215593615704
SAN BLAS - SANTO DOMINGO,0.15999996668917,0.22182165178042684,-0.06182168509125685,0.18560581666311352,0.2573825127025298
CIUDAD JARDIN,0.15963176858836206,0.2002661728277439,-0.04063440423938183,0.184574665554037,0.282594313433032
JUAN XXIII,0.1592083914299678,0.2522163866049525,-0.0930079951749847,0.19475493701606103,0.30734658894894207
RABASA,0.15581983509932867,0.17260054510476652,-0.01678071000543785,0.16694004629991863,0.2217595038798432
NOU ALACANT,0.1538130414778364,0.1555041321887025,-0.0016910907108660944,0.16133068501232564,0.20830503227964164
VIRGEN DEL REMEDIO,0.1536649603660631,0.16666473641565724,-0.012999776049594125,0.15678234671288369,0.2215433106211948
POLIGONO BABEL,0.15170583901916296,0.18502103898706693,-0.03331519996790397,0.1747156653788811,0.2305368107857464
CAMINO VENTORRILLO,0.15091533269860477,0.24448963069698534,-0.09357429799838057,0.22828352804336027,0.2912684377613806
TOMBOLA,0.1425213376145199,0.16125257308714386,-0.018731235472623953,0.15459378090253234,0.20672602112161537
COLONIA REQUENA,0.13869876883776558,0.1569767020495307,-0.01827793321176513,0.1459470933196986,0.1750129459900684
ALICANTE/ALACANT,0.13719824033117956,0.17418107812443245,-0.0369828377932529,0.15465058484104915,0.21605424434783135
