barrio_padron,poblacion_total,poblacion_65plus,poblacion_80plus,pct_65plus,pct_80plus,mayores_65_solos,mayores_65_total,pct_65plus_solos,mayores_80_solos,mayores_80_total,pct_80plus_solos
ALBUFERETA,11047,2509,797,22.7,7.2,767,1621,47.3,261,488,53.5
ALIPARK,3280,883,260,26.9,7.9,220,591,37.2,93,194,47.9
ALTOZANO - CONDE LUMIARES,11220,2399,712,21.4,6.3,539,1532,35.2,225,495,45.5
BENALUA,9980,2779,898,27.8,9.0,741,1858,39.9,308,665,46.3
CABO DE LAS HUERTAS,17267,3937,859,22.8,5.0,913,2549,35.8,266,589,45.2
CAMPOAMOR,13371,2971,946,22.2,7.1,805,1947,41.3,347,671,51.7
CAROLINAS ALTAS,20711,4112,1208,19.9,5.8,1044,2704,38.6,442,900,49.1
CAROLINAS BAJAS,11539,1982,659,17.2,5.7,560,1335,41.9,238,513,46.4
CASCO ANTIGUO - SANTA CRUZ - AYUNTAMIENTO,2687,600,181,22.3,6.7,219,426,51.4,75,131,57.3
CENTRO,6271,1570,554,25.0,8.8,510,1109,46.0,228,451,50.6
CIUDAD DE ASIS,7077,1086,285,15.3,4.0,281,745,37.7,110,226,48.7
CIUDAD JARDIN,1644,353,113,21.5,6.9,59,214,27.6,38,85,44.7
COLONIA REQUENA,2910,228,50,7.8,1.7,64,145,44.1,18,39,46.2
CUATROCIENTAS VIVIENDAS,1218,252,79,20.7,6.5,66,166,39.8,23,58,39.7
DISPERSO PARTIDAS,32913,4413,995,13.4,3.0,860,2605,33.0,258,597,43.2
DIVINA PASTORA,1533,327,63,21.3,4.1,51,209,24.4,16,48,33.3
EL PALMERAL - URBANOVA - TABARCA,3836,745,137,19.4,3.6,174,477,36.5,42,101,41.6
ENSANCHE DIPUTACION,15233,5336,1677,35.0,11.0,1560,3642,42.8,649,1297,50.0
FLORIDA ALTA,5522,1265,402,22.9,7.3,292,846,34.5,141,312,45.2
FLORIDA BAJA,11070,2796,766,25.3,6.9,565,1771,31.9,241,538,44.8
GARBINET,13888,1782,445,12.8,3.2,359,1100,32.6,118,280,42.1
JUAN XXIII,9187,1431,361,15.6,3.9,263,804,32.7,78,165,47.3
LO MORANT - SAN NICOLAS DE BARI,7140,1226,292,17.2,4.1,252,776,32.5,82,201,40.8
LOS ANGELES,12338,2260,637,18.3,5.2,547,1477,37.0,245,478,51.3
MERCADO,9520,2356,843,24.7,8.9,730,1621,45.0,337,646,52.2
PLA DEL BON REPOS,15425,3303,1120,21.4,7.3,976,2241,43.6,450,875,51.4
PLAYA DE SAN JUAN,30190,4417,1184,14.6,3.9,1133,2755,41.1,369,742,49.7
POLIGONO BABEL,7826,2154,493,27.5,6.3,398,1363,29.2,120,313,38.3
POLIGONO SAN BLAS,12816,3009,647,23.5,5.0,548,1926,28.5,187,480,39.0
RABASA,2839,581,130,20.5,4.6,102,381,26.8,47,105,44.8
RAVAL ROIG - VIRGEN DEL SOCORRO,1718,507,157,29.5,9.1,189,361,52.4,70,122,57.4
SAN AGUSTIN,2254,305,92,13.5,4.1,56,176,31.8,22,56,39.3
SAN BLAS - SANTO DOMINGO,9430,2183,642,23.1,6.8,606,1469,41.3,231,492,47.0
SAN FERNANDO - PRINCESA MERCEDES,5077,1215,335,23.9,6.6,277,798,34.7,115,266,43.2
SAN GABRIEL,5069,898,285,17.7,5.6,217,612,35.5,106,218,48.6
SANANTON,2610,465,167,17.8,6.4,138,330,41.8,69,126,54.8
SIDI IFNI - NOU ALACANT,5593,859,240,15.4,4.3,211,566,37.3,96,184,52.2
TOMBOLA,2560,465,135,18.2,5.3,109,317,34.4,39,102,38.2
VILLAFRANQUEZA - SANTA FAZ,4858,914,289,18.8,5.9,204,583,35.0,90,210,42.9
VIRGEN DEL CARMEN,3422,313,61,9.1,1.8,70,219,32.0,20,54,37.0
VIRGEN DEL REMEDIO,19247,2601,745,13.5,3.9,620,1683,36.8,252,556,45.3
VISTAHERMOSA,6367,1359,482,21.3,7.6,230,763,30.1,105,241,43.6
