dataDate;community;province;selfConsumption;sumPouredEnergy_kWh;sumContracts;sumPower_kW
2024-05-01;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;2;13;undefined;
2024-05-01;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;142;16;undefined;
2024-05-01;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;582625;14;151135;
2024-05-01;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;2660;35;7237;
2024-05-01;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;82651;18;33626;
2024-05-01;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;23862;58;19502;
2024-05-01;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;1963;657;1181;
2024-05-01;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;593;76;330;
2024-05-01;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;2165;334;1260;
2024-05-01;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;1859;197;1041;
2024-05-01;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1348;129;640;
2024-05-01;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;5938;1031;2993;
2024-05-01;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;410215;34782;206737;
2024-05-01;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;87873;6884;41266;
2024-05-01;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;459767;33149;190597;
2024-05-01;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1013;43932;
2024-05-01;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;223;31793;
2024-05-01;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;859;50691;
2024-05-02;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;5;13;undefined;
2024-05-02;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;194;16;undefined;
2024-05-02;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;650130;14;151135;
2024-05-02;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;4282;35;7237;
2024-05-02;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;83909;18;33626;
2024-05-02;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;37190;58;19502;
2024-05-02;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3750;657;1181;
2024-05-02;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;920;76;330;
2024-05-02;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3185;335;1260;
2024-05-02;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;2929;197;1041;
2024-05-02;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1344;129;640;
2024-05-02;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;8261;1031;2993;
2024-05-02;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;762932;34782;206737;
2024-05-02;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;130910;6884;41266;
2024-05-02;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;705239;33151;190600;
2024-05-02;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1013;43932;
2024-05-02;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;223;31793;
2024-05-02;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;859;50691;
2024-05-03;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-03;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;192;16;undefined;
