barrio,tipo_anomalia,n_airbnb_listings,n_licensed_vt,avg_occupancy_summer_pct,avg_occupancy_winter_pct,avg_guests_per_listing,tourist_water_pressure_index,snapshot_year,is_tourism_barrio,source
1-BENALUA,normal,23,12,20.9,22.8,2.2,0.008,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
2-SAN ANTON,normal,38,26,23.2,14.6,2.1,0.008,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
3-CENTRO,turismo,508,339,81.0,44.8,3.2,0.525,2024,1,Inside Airbnb + GVA Registro Turismo (synthetic)
4-MERCADO,normal,29,19,28.1,13.2,2.1,0.01,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
5-CAMPOAMOR,normal,12,7,19.0,19.6,1.9,0.004,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
6-LOS ANGELES,normal,23,12,31.1,19.2,1.8,0.006,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
8-ALIPARK,normal,11,7,27.9,19.8,2.4,0.005,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
9-FLORIDA ALTA,normal,11,7,27.1,16.4,2.1,0.007,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
10-FLORIDA BAJA,normal,14,8,24.1,22.7,1.9,0.003,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
14-ENSANCHE DIPUTACION,normal,14,8,20.1,21.0,1.8,0.005,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
16-PLA DEL BON REPOS,normal,41,23,21.7,12.4,1.8,0.007,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,44,24,34.0,12.5,2.0,0.016,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
18-CAROLINAS BAJAS,normal,30,20,27.7,23.9,2.2,0.008,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
19-GARBINET,normal,25,13,32.5,14.0,1.8,0.008,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
20-RABASA,normal,26,14,28.5,16.2,1.9,0.006,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,17,12,34.2,22.3,1.9,0.021,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,38,23,19.6,23.4,2.2,0.007,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,16,9,20.7,15.0,2.5,0.004,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
28-EL PALMERAL,normal,38,24,23.0,19.5,2.5,0.021,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
31-CIUDAD JARDIN,normal,29,21,34.5,13.8,2.3,0.009,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
32-VIRGEN DEL REMEDIO,fraude,36,22,30.8,19.5,2.2,0.032,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
33- MORANT -SAN NICOLAS BARI,normal,16,11,20.8,23.3,2.4,0.014,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
34-COLONIA REQUENA,fuga_fisica,42,25,30.2,15.6,2.1,0.016,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
35-VIRGEN DEL CARMEN,reparacion,37,23,27.2,12.8,2.1,0.009,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
40-CABO DE LAS HUERTAS,normal,41,24,34.5,18.3,2.4,0.048,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
41-PLAYA DE SAN JUAN,estacionalidad,633,395,90.0,35.9,4.4,0.758,2024,1,Inside Airbnb + GVA Registro Turismo (synthetic)
54-POLIGONO VALLONGA,normal,13,8,28.7,17.5,2.1,0.005,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
55-PUERTO,normal,35,18,20.6,18.2,1.9,0.006,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
56-DISPERSOS,enganche,28,18,26.0,14.6,2.0,0.011,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
TABARCA,contador_roto,36,21,71.7,30.9,1.8,0.058,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
VILLAFRANQUEZA,normal,41,23,29.2,13.7,2.1,0.014,2024,0,Inside Airbnb + GVA Registro Turismo (synthetic)
