contrato_id,barrio,uso,building_m2,construction_year,age_factor,occupancy_estimate,expected_monthly_L,actual_monthly_L,consumption_efficiency_ratio,pipe_risk_score
CTR-10-00055,10-FLORIDA BAJA,COMERCIAL,102.0,2003,1.0,3.4,13056.0,13347.2,1.078,0.0
CTR-10-00071,10-FLORIDA BAJA,NO DOMESTICO,54.3,1995,1.04,1.81,7228.4,19342.1,1.35,0.0
CTR-10-00076,10-FLORIDA BAJA,DOMESTICO,68.8,1985,1.08,2.29,9497.1,7392.9,0.745,0.0
CTR-10-00109,10-FLORIDA BAJA,DOMESTICO,74.5,1998,1.04,2.48,9904.1,12303.8,1.154,0.0
CTR-10-00113,10-FLORIDA BAJA,DOMESTICO,80.0,1998,1.04,2.67,10662.9,11140.2,0.987,0.0
CTR-10-00160,10-FLORIDA BAJA,NO DOMESTICO,101.2,1995,1.04,3.37,13458.4,19533.7,1.35,0.0
CTR-10-00162,10-FLORIDA BAJA,DOMESTICO,63.7,1999,1.04,2.12,8466.4,13408.6,1.35,0.0
CTR-10-00164,10-FLORIDA BAJA,DOMESTICO,84.2,2002,1.0,2.81,10790.4,7120.1,0.606,0.0
CTR-10-00180,10-FLORIDA BAJA,NO DOMESTICO,125.8,1977,1.15,4.19,18503.0,18640.1,1.043,0.6
CTR-10-00181,10-FLORIDA BAJA,DOMESTICO,57.0,1983,1.08,1.9,7879.7,7109.0,0.992,0.6
CTR-11-00000,11-CIUDAD DE ASIS,DOMESTICO,79.3,1988,1.08,2.64,10948.6,13407.0,1.185,0.0
CTR-11-00034,11-CIUDAD DE ASIS,COMERCIAL,162.1,1976,1.15,5.4,23846.4,21625.4,2.296,0.6
CTR-11-00035,11-CIUDAD DE ASIS,DOMESTICO,73.3,1981,1.08,2.44,10119.2,10680.5,1.122,0.6
CTR-11-00044,11-CIUDAD DE ASIS,DOMESTICO,82.3,2009,1.0,2.74,10521.6,8881.2,0.796,0.0
CTR-11-00065,11-CIUDAD DE ASIS,DOMESTICO,64.4,1978,1.15,2.15,9494.4,11021.3,1.165,0.6
CTR-11-00086,11-CIUDAD DE ASIS,DOMESTICO,60.5,1978,1.15,2.02,8920.3,7395.3,0.923,0.6
CTR-11-00100,11-CIUDAD DE ASIS,NO DOMESTICO,84.2,2000,1.0,2.81,10790.4,15511.3,1.35,0.0
CTR-11-00116,11-CIUDAD DE ASIS,DOMESTICO,72.9,2010,1.0,2.43,9331.2,14208.3,1.35,0.0
CTR-11-00158,11-CIUDAD DE ASIS,COMERCIAL,148.5,1982,1.08,4.95,20528.6,16841.6,0.825,0.6
CTR-11-00176,11-CIUDAD DE ASIS,DOMESTICO,66.7,1995,1.04,2.22,8865.8,15839.8,1.563,0.0
CTR-11-00178,11-CIUDAD DE ASIS,NO DOMESTICO,74.7,1998,1.04,2.49,9944.1,17567.0,1.35,0.0
CTR-11-00190,11-CIUDAD DE ASIS,DOMESTICO,79.1,2003,1.0,2.64,10137.6,17062.4,1.445,0.0
CTR-12-00008,12-POLIGONO BABEL,DOMESTICO,67.7,1981,1.08,2.26,9372.7,14598.8,1.35,0.6
CTR-12-00011,12-POLIGONO BABEL,DOMESTICO,55.2,1982,1.08,1.84,7630.8,12251.9,1.35,0.6
CTR-12-00015,12-POLIGONO BABEL,DOMESTICO,76.3,1991,1.04,2.54,10143.7,12088.5,1.25,0.0
CTR-12-00021,12-POLIGONO BABEL,DOMESTICO,82.8,1979,1.15,2.76,12188.2,12293.6,1.039,0.6
CTR-12-00037,12-POLIGONO BABEL,DOMESTICO,80.9,2002,1.0,2.7,10368.0,8896.4,0.883,0.0
CTR-12-00048,12-POLIGONO BABEL,DOMESTICO,57.9,2008,1.0,1.93,7411.2,7021.9,0.922,0.0
