EXPLOTACION,FECHA,MOTIVO_CAMBIO,EMPLAZAMIENTO,CALIBRE
ALICANTE,2020-01-01,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-01,ED-CAMBIO POR EDAD,FACHADA,20
ALICANTE,2020-01-01,CM-CAMBIO CLASE O MODELO,ARQUETA,25
ALICANTE,2020-01-01,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-01,ED-CAMBIO POR EDAD,BATERIA,20
ALICANTE,2020-01-01,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-01,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-01-01,CM-CAMBIO CLASE O MODELO,BATERIA,15
ALICANTE,2020-01-02,TE-INSTALAR TELELECTURA,ARQUETA,20
ALICANTE,2020-01-02,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-02,CM-CAMBIO CLASE O MODELO,ARQUETA,15
ALICANTE,2020-01-02,ED-CAMBIO POR EDAD,ARQUETA,15
ALICANTE,2020-01-02,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-02,CM-CAMBIO CLASE O MODELO,GALERIA,25
ALICANTE,2020-01-02,ED-CAMBIO POR EDAD,GALERIA,25
ALICANTE,2020-01-02,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-02,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-02,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-02,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-02,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-03,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-03,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-03,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-03,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-03,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-03,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-03,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-01-03,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-03,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-03,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-04,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-04,ED-CAMBIO POR EDAD,BATERIA,20
ALICANTE,2020-01-04,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-04,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-04,TE-INSTALAR TELELECTURA,FACHADA,20
ALICANTE,2020-01-04,TE-INSTALAR TELELECTURA,GALERIA,15
ALICANTE,2020-01-04,TE-INSTALAR TELELECTURA,FACHADA,20
ALICANTE,2020-01-04,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-04,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-04,CM-CAMBIO CLASE O MODELO,BATERIA,20
ALICANTE,2020-01-04,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-04,ED-CAMBIO POR EDAD,FACHADA,15
ALICANTE,2020-01-04,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-04,ED-CAMBIO POR EDAD,ARQUETA,20
ALICANTE,2020-01-04,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-04,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-05,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-05,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-05,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-05,TE-INSTALAR TELELECTURA,ARQUETA,15
ALICANTE,2020-01-05,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-05,ED-CAMBIO POR EDAD,GALERIA,15
ALICANTE,2020-01-05,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-05,TE-INSTALAR TELELECTURA,GALERIA,15
ALICANTE,2020-01-06,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-06,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-06,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-06,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-06,ED-CAMBIO POR EDAD,BATERIA,15
ALICANTE,2020-01-06,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-06,ED-CAMBIO POR EDAD,BATERIA,20
ALICANTE,2020-01-06,TE-INSTALAR TELELECTURA,GALERIA,15
ALICANTE,2020-01-07,TE-INSTALAR TELELECTURA,ARQUETA,20
ALICANTE,2020-01-07,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-07,ED-CAMBIO POR EDAD,GALERIA,15
ALICANTE,2020-01-07,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-07,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-07,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-07,ED-CAMBIO POR EDAD,ARQUETA,15
ALICANTE,2020-01-07,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-07,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-07,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-01-07,CM-CAMBIO CLASE O MODELO,GALERIA,15
ALICANTE,2020-01-07,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-07,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-07,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-08,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-08,CM-CAMBIO CLASE O MODELO,FACHADA,15
ALICANTE,2020-01-08,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-08,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-08,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-09,TE-INSTALAR TELELECTURA,GALERIA,25
ALICANTE,2020-01-09,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-09,ED-CAMBIO POR EDAD,GALERIA,20
ALICANTE,2020-01-09,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-09,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-09,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-09,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-09,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-09,ED-CAMBIO POR EDAD,GALERIA,20
ALICANTE,2020-01-10,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-10,CM-CAMBIO CLASE O MODELO,GALERIA,15
ALICANTE,2020-01-10,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-10,TE-INSTALAR TELELECTURA,ARQUETA,15
ALICANTE,2020-01-10,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-10,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-10,CM-CAMBIO CLASE O MODELO,FACHADA,15
ALICANTE,2020-01-10,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-10,CM-CAMBIO CLASE O MODELO,FACHADA,15
ALICANTE,2020-01-10,TE-INSTALAR TELELECTURA,FACHADA,15
ALICANTE,2020-01-10,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-10,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-10,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-10,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-10,ED-CAMBIO POR EDAD,FACHADA,15
ALICANTE,2020-01-10,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-10,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-11,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-11,CM-CAMBIO CLASE O MODELO,GALERIA,20
ALICANTE,2020-01-11,ED-CAMBIO POR EDAD,GALERIA,20
ALICANTE,2020-01-11,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-11,TE-INSTALAR TELELECTURA,ARQUETA,20
ALICANTE,2020-01-12,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-12,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-12,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-12,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-12,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-12,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-12,CM-CAMBIO CLASE O MODELO,ARQUETA,25
ALICANTE,2020-01-12,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-12,CM-CAMBIO CLASE O MODELO,FACHADA,25
ALICANTE,2020-01-12,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-12,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-12,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-13,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-13,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-01-13,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-13,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-13,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-13,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-13,ED-CAMBIO POR EDAD,GALERIA,25
ALICANTE,2020-01-13,TE-INSTALAR TELELECTURA,ARQUETA,15
ALICANTE,2020-01-13,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-13,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-13,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-13,CM-CAMBIO CLASE O MODELO,BATERIA,15
ALICANTE,2020-01-13,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-13,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-14,CM-CAMBIO CLASE O MODELO,GALERIA,15
ALICANTE,2020-01-14,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-14,ED-CAMBIO POR EDAD,BATERIA,25
ALICANTE,2020-01-14,TE-INSTALAR TELELECTURA,ARQUETA,15
ALICANTE,2020-01-14,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-14,CM-CAMBIO CLASE O MODELO,GALERIA,20
ALICANTE,2020-01-14,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-14,CM-CAMBIO CLASE O MODELO,FACHADA,15
ALICANTE,2020-01-14,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-14,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-14,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-14,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-14,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-14,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-01-14,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-15,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-15,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-15,CM-CAMBIO CLASE O MODELO,FACHADA,20
ALICANTE,2020-01-15,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-15,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-15,TE-INSTALAR TELELECTURA,GALERIA,20
ALICANTE,2020-01-15,ED-CAMBIO POR EDAD,GALERIA,15
ALICANTE,2020-01-15,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-15,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-15,CM-CAMBIO CLASE O MODELO,FACHADA,13
