barrio,tipo_anomalia,year,month,electricity_kwh_total,electricity_kwh_per_m3,ratio_zscore,ratio_yoy,elec_water_anomaly_flag,source
1-BENALUA,normal,2022,1,36832.0,1.79,-0.28,1.0,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2022,2,39669.0,1.72,-0.35,0.99,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2022,3,32636.0,1.73,-0.34,1.04,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2022,4,33683.0,1.59,-0.46,0.98,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2022,5,39217.0,1.99,-0.1,1.21,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2022,6,40933.0,1.98,-0.11,1.08,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2022,7,41981.0,2.37,0.24,1.11,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2022,8,41292.0,2.1,-0.0,1.01,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2022,9,40106.0,1.74,-0.33,0.98,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2022,10,32215.0,1.69,-0.37,1.02,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2022,11,38647.0,1.47,-0.58,0.86,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2022,12,39028.0,2.03,-0.06,1.12,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,1,42753.0,2.01,-0.08,1.12,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,2,38797.0,1.83,-0.25,1.05,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,3,36248.0,1.95,-0.14,1.17,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,4,32153.0,1.63,-0.42,1.01,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,5,36924.0,1.69,-0.38,1.02,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,6,36432.0,1.86,-0.22,1.01,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,7,46255.0,1.98,-0.11,0.93,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,8,43813.0,2.13,0.03,1.03,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,9,36942.0,1.82,-0.25,1.02,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,10,39726.0,1.51,-0.54,0.91,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,11,36340.0,1.91,-0.17,1.12,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2023,12,36998.0,1.7,-0.37,0.93,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,1,39060.0,1.73,-0.33,0.97,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,2,40588.0,1.75,-0.32,1.01,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,3,37960.0,1.46,-0.58,0.88,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,4,29885.0,1.77,-0.3,1.1,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,5,34249.0,1.48,-0.57,0.9,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,6,40226.0,1.71,-0.35,0.93,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,7,40115.0,1.83,-0.25,0.86,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,8,43751.0,1.75,-0.32,0.84,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,9,35197.0,2.16,0.05,1.21,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,10,35514.0,1.73,-0.34,1.05,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,11,38556.0,1.49,-0.55,0.88,0,REE distribución + AMAEM ratio (synthetic)
1-BENALUA,normal,2024,12,34585.0,1.84,-0.23,1.01,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,1,53408.0,2.31,0.19,0.98,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,2,42438.0,2.28,0.17,0.99,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,3,48665.0,2.48,0.35,1.12,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,4,46610.0,2.24,0.13,1.04,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,5,43045.0,2.15,0.05,0.98,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,6,45889.0,2.45,0.31,1.0,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,7,51050.0,2.56,0.42,0.91,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,8,52628.0,2.94,0.76,1.07,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,9,47832.0,2.35,0.23,0.99,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,10,40827.0,2.11,0.01,0.97,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,11,43126.0,2.09,-0.01,0.93,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2022,12,46360.0,2.72,0.56,1.13,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,1,48327.0,2.55,0.41,1.08,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,2,41262.0,2.37,0.24,1.03,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,3,42648.0,2.03,-0.06,0.92,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,4,41668.0,2.06,-0.04,0.96,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,5,44398.0,2.34,0.22,1.07,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,6,47288.0,2.7,0.54,1.11,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,7,58540.0,2.82,0.66,1.0,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,8,60370.0,2.91,0.73,1.06,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,9,50533.0,2.25,0.14,0.95,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,10,45698.0,2.5,0.36,1.14,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,11,44628.0,2.21,0.1,0.98,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2023,12,43125.0,2.49,0.35,1.03,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,1,52088.0,2.36,0.24,1.0,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,2,43946.0,2.16,0.06,0.94,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,3,42911.0,2.57,0.42,1.16,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,4,43930.0,2.29,0.18,1.07,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,5,37907.0,2.21,0.1,1.01,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,6,50044.0,2.47,0.33,1.01,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,7,56589.0,3.16,0.96,1.12,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,8,54952.0,2.49,0.36,0.91,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,9,51034.0,2.31,0.19,0.97,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,10,45102.0,2.41,0.28,1.1,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,11,43837.0,2.31,0.19,1.02,0,REE distribución + AMAEM ratio (synthetic)
2-SAN ANTON,normal,2024,12,43855.0,2.39,0.27,0.99,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,1,37235.0,2.37,0.25,0.93,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,2,30092.0,2.15,0.04,0.86,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,3,32010.0,2.57,0.43,1.08,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,4,33718.0,2.43,0.3,1.05,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,5,33279.0,2.33,0.21,0.98,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,6,38723.0,2.73,0.57,1.04,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,7,45884.0,3.08,0.89,1.01,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,8,38118.0,3.01,0.83,1.01,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,9,37848.0,2.78,0.61,1.08,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,10,34153.0,2.62,0.47,1.11,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,11,34997.0,2.32,0.2,0.95,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2022,12,34580.0,2.5,0.36,0.96,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,1,34122.0,2.22,0.11,0.87,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,2,33622.0,2.6,0.46,1.05,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,3,32142.0,2.58,0.44,1.08,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,4,34857.0,1.96,-0.13,0.84,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,5,31858.0,2.75,0.59,1.16,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,6,37394.0,2.77,0.61,1.05,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,7,43946.0,3.34,1.13,1.1,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,8,39754.0,3.19,0.99,1.07,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,9,36405.0,2.7,0.55,1.05,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,10,32202.0,2.39,0.26,1.01,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,11,31060.0,2.26,0.14,0.93,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2023,12,39065.0,2.83,0.67,1.09,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,1,32789.0,2.25,0.13,0.88,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,2,36597.0,2.65,0.5,1.06,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,3,32972.0,2.61,0.47,1.09,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,4,29728.0,2.28,0.16,0.98,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,5,31467.0,2.31,0.19,0.98,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,6,33445.0,2.73,0.57,1.03,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,7,39164.0,2.87,0.7,0.94,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,8,43841.0,2.72,0.56,0.91,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,9,36191.0,2.65,0.5,1.03,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,10,37172.0,2.32,0.2,0.98,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,11,32188.0,2.2,0.09,0.9,0,REE distribución + AMAEM ratio (synthetic)
3-CENTRO,turismo,2024,12,36491.0,2.79,0.62,1.07,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,1,36042.0,3.16,0.96,1.11,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,2,35554.0,2.58,0.43,0.93,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,3,30971.0,2.73,0.57,1.03,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,4,32626.0,2.65,0.5,1.03,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,5,32708.0,2.8,0.63,1.06,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,6,35137.0,2.62,0.48,0.9,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,7,45558.0,3.42,1.2,1.01,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,8,38415.0,3.04,0.85,0.92,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,9,36018.0,3.07,0.88,1.08,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,10,30339.0,2.53,0.39,0.96,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,11,33015.0,2.63,0.48,0.97,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2022,12,35249.0,3.21,1.01,1.11,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,1,35757.0,2.94,0.76,1.03,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,2,35480.0,2.56,0.42,0.93,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,3,32469.0,2.78,0.62,1.05,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,4,32472.0,2.54,0.4,0.99,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,5,31751.0,2.93,0.76,1.12,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,6,34099.0,2.81,0.65,0.96,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,7,40522.0,3.56,1.33,1.05,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,8,42851.0,2.84,0.67,0.86,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,9,36150.0,2.83,0.67,1.0,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,10,29934.0,2.4,0.27,0.91,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,11,38677.0,2.31,0.2,0.85,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2023,12,35939.0,2.93,0.76,1.01,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,1,35595.0,2.92,0.75,1.03,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,2,34234.0,2.42,0.29,0.87,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,3,34408.0,2.32,0.2,0.87,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,4,31226.0,2.87,0.7,1.12,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,5,33095.0,2.36,0.24,0.9,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,6,35883.0,2.87,0.7,0.98,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,7,36959.0,3.47,1.25,1.03,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,8,43081.0,3.34,1.13,1.01,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,9,38102.0,2.68,0.53,0.94,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,10,33122.0,2.85,0.68,1.09,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,11,30340.0,2.8,0.64,1.03,0,REE distribución + AMAEM ratio (synthetic)
4-MERCADO,normal,2024,12,30967.0,3.23,1.03,1.11,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,1,49171.0,3.35,1.14,1.15,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,2,55873.0,2.8,0.63,0.99,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,3,54683.0,2.95,0.77,1.08,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,4,54619.0,2.91,0.74,1.1,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,5,54975.0,3.08,0.89,1.14,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,6,65167.0,2.88,0.71,0.96,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,7,68764.0,3.77,1.52,1.09,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,8,65389.0,3.47,1.24,1.02,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,9,57392.0,3.11,0.92,1.07,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,10,51191.0,3.04,0.86,1.13,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,11,47655.0,2.9,0.73,1.05,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2022,12,60225.0,2.7,0.55,0.91,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,1,57835.0,2.81,0.64,0.96,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,2,51659.0,2.64,0.49,0.93,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,3,51094.0,2.79,0.63,1.03,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,4,53428.0,2.88,0.71,1.09,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,5,50574.0,2.54,0.4,0.94,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,6,64420.0,3.31,1.1,1.11,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,7,60126.0,3.87,1.6,1.11,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,8,59872.0,3.5,1.27,1.03,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,9,54735.0,2.96,0.78,1.02,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,10,51545.0,2.59,0.44,0.96,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,11,58901.0,2.81,0.64,1.01,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2023,12,59906.0,3.36,1.14,1.13,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,1,57486.0,2.66,0.51,0.91,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,2,52944.0,2.68,0.53,0.95,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,3,53654.0,2.63,0.48,0.97,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,4,48702.0,2.59,0.45,0.98,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,5,47287.0,2.41,0.28,0.89,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,6,56579.0,3.37,1.15,1.12,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,7,66353.0,3.39,1.17,0.98,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,8,69245.0,3.57,1.34,1.06,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,9,55531.0,2.73,0.58,0.94,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,10,48770.0,2.8,0.64,1.04,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,11,55572.0,2.71,0.55,0.97,0,REE distribución + AMAEM ratio (synthetic)
5-CAMPOAMOR,normal,2024,12,58164.0,2.33,0.21,0.78,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2022,1,62234.0,3.1,0.91,1.08,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2022,2,56374.0,2.65,0.5,0.95,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2022,3,55900.0,3.06,0.87,1.14,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2022,4,52505.0,2.35,0.23,0.91,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2022,5,55302.0,2.55,0.41,0.96,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2022,6,61307.0,3.2,1.0,1.09,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2022,7,71474.0,3.48,1.26,1.02,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2022,8,66913.0,3.32,1.11,1.0,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2022,9,61663.0,2.98,0.8,1.04,0,REE distribución + AMAEM ratio (synthetic)
