barrio,tipo_anomalia,subsidence_mm_yr,subsidence_std_mm_yr,trend_acceleration,n_ps_points,insar_zscore,insar_anomaly_flag,campaign_year,source
1-BENALUA,normal,-1.13,0.37,0.048,103,-0.02,0,2023,Copernicus EGMS L3 (synthetic)
2-SAN ANTON,normal,-1.43,0.37,0.028,100,-0.25,0,2023,Copernicus EGMS L3 (synthetic)
3-CENTRO,turismo,-0.67,0.22,-0.032,80,0.33,0,2023,Copernicus EGMS L3 (synthetic)
4-MERCADO,normal,-1.04,0.42,0.045,166,0.05,0,2023,Copernicus EGMS L3 (synthetic)
5-CAMPOAMOR,normal,-0.72,0.44,-0.036,145,0.29,0,2023,Copernicus EGMS L3 (synthetic)
6-LOS ANGELES,normal,-0.71,0.36,0.033,143,0.3,0,2023,Copernicus EGMS L3 (synthetic)
8-ALIPARK,normal,-1.53,0.27,0.045,111,-0.33,0,2023,Copernicus EGMS L3 (synthetic)
9-FLORIDA ALTA,normal,-0.8,0.36,0.03,137,0.23,0,2023,Copernicus EGMS L3 (synthetic)
10-FLORIDA BAJA,normal,-0.87,0.32,-0.022,70,0.18,0,2023,Copernicus EGMS L3 (synthetic)
14-ENSANCHE DIPUTACION,normal,-0.79,0.35,0.002,127,0.24,0,2023,Copernicus EGMS L3 (synthetic)
16-PLA DEL BON REPOS,normal,-1.71,0.27,-0.026,170,-0.47,0,2023,Copernicus EGMS L3 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,-3.33,0.89,-0.281,68,-1.72,0,2023,Copernicus EGMS L3 (synthetic)
18-CAROLINAS BAJAS,normal,-0.7,0.3,0.001,46,0.31,0,2023,Copernicus EGMS L3 (synthetic)
19-GARBINET,normal,-0.27,0.44,-0.029,122,0.64,0,2023,Copernicus EGMS L3 (synthetic)
20-RABASA,normal,-0.82,0.36,-0.032,69,0.22,0,2023,Copernicus EGMS L3 (synthetic)
22-CASCO ANTIGUO - SANTA CRUZ,normal,-1.12,0.31,-0.03,140,-0.02,0,2023,Copernicus EGMS L3 (synthetic)
24-SAN BLAS - SANTO DOMINGO,normal,-1.09,0.27,-0.042,122,0.01,0,2023,Copernicus EGMS L3 (synthetic)
25-ALTOZANO - CONDE LUMIARES,normal,-1.04,0.2,-0.012,181,0.05,0,2023,Copernicus EGMS L3 (synthetic)
28-EL PALMERAL,normal,-1.25,0.41,-0.039,100,-0.12,0,2023,Copernicus EGMS L3 (synthetic)
31-CIUDAD JARDIN,normal,-1.37,0.38,-0.021,192,-0.21,0,2023,Copernicus EGMS L3 (synthetic)
32-VIRGEN DEL REMEDIO,fraude,-2.07,0.24,-0.03,107,-0.75,0,2023,Copernicus EGMS L3 (synthetic)
33- MORANT -SAN NICOLAS BARI,normal,-0.51,0.45,0.044,196,0.45,0,2023,Copernicus EGMS L3 (synthetic)
34-COLONIA REQUENA,fuga_fisica,-9.18,1.6,-0.686,137,-6.22,1,2023,Copernicus EGMS L3 (synthetic)
35-VIRGEN DEL CARMEN,reparacion,-4.78,1.18,0.607,185,-2.83,0,2023,Copernicus EGMS L3 (synthetic)
40-CABO DE LAS HUERTAS,normal,-1.67,0.5,-0.026,132,-0.44,0,2023,Copernicus EGMS L3 (synthetic)
41-PLAYA DE SAN JUAN,estacionalidad,-1.59,0.59,0.034,111,-0.38,0,2023,Copernicus EGMS L3 (synthetic)
54-POLIGONO VALLONGA,normal,-0.6,0.24,0.028,85,0.38,0,2023,Copernicus EGMS L3 (synthetic)
55-PUERTO,normal,-1.43,0.38,-0.018,153,-0.25,0,2023,Copernicus EGMS L3 (synthetic)
56-DISPERSOS,enganche,-1.27,0.52,-0.057,106,-0.13,0,2023,Copernicus EGMS L3 (synthetic)
TABARCA,contador_roto,-1.08,0.28,0.042,119,0.02,0,2023,Copernicus EGMS L3 (synthetic)
VILLAFRANQUEZA,normal,-1.63,0.29,-0.028,139,-0.41,0,2023,Copernicus EGMS L3 (synthetic)
