contrato_id,barrio,uso,tipo_fuga,inicio_fuga,fin_fuga,duracion_horas
CTR-16-00174,16-PLA DEL BON REPOS,DOMESTICO,rotura_tuberia,2024-06-30 15:00:00,2024-07-01 06:00:00,15
CTR-22-00117,22-ALTOZANO,DOMESTICO,consumo_nocturno_anomalo,2024-07-08 16:00:00,2024-07-25 03:00:00,395
CTR-19-00154,19-GARBINET,COMERCIAL,fuga_intermitente,2024-07-01 00:00:00,2024-07-14 13:00:00,325
CTR-21-00013,21-ALIPARK,DOMESTICO,rotura_tuberia,2024-07-10 07:00:00,2024-07-11 19:00:00,36
CTR-14-00161,14-ENSANCHE DIPUTACION,DOMESTICO,degradacion_gradual,2024-07-07 10:00:00,2024-07-22 08:00:00,358
CTR-12-00144,12-POLIGONO BABEL,DOMESTICO,rotura_tuberia,2024-06-17 17:00:00,2024-06-19 06:00:00,37
CTR-20-00108,20-BENALUA,DOMESTICO,fuga_intermitente,2024-07-10 20:00:00,2024-07-27 06:00:00,394
CTR-23-00129,23-CENTRO TRADICIONAL,DOMESTICO,fuga_intermitente,2024-06-27 10:00:00,2024-07-12 19:00:00,369
CTR-19-00068,19-GARBINET,DOMESTICO,fuga_intermitente,2024-06-24 11:00:00,2024-07-02 13:00:00,194
CTR-18-00185,18-CAROLINAS BAJAS,DOMESTICO,degradacion_gradual,2024-07-08 21:00:00,2024-07-27 11:00:00,446
CTR-23-00098,23-CENTRO TRADICIONAL,DOMESTICO,fuga_lenta_continua,2024-06-30 03:00:00,2024-07-07 20:00:00,185
CTR-11-00034,11-CIUDAD DE ASIS,COMERCIAL,fuga_lenta_continua,2024-06-21 20:00:00,2024-07-18 06:00:00,634
CTR-20-00188,20-BENALUA,DOMESTICO,fuga_lenta_continua,2024-07-07 04:00:00,2024-07-19 00:00:00,284
CTR-19-00165,19-GARBINET,NO DOMESTICO,rotura_tuberia,2024-07-02 22:00:00,2024-07-03 18:00:00,20
CTR-11-00190,11-CIUDAD DE ASIS,DOMESTICO,degradacion_gradual,2024-06-29 04:00:00,2024-07-28 05:00:00,697
CTR-24-00077,24-CASCO ANTIGUO,COMERCIAL,fuga_lenta_continua,2024-06-27 05:00:00,2024-07-19 23:00:00,546
CTR-20-00146,20-BENALUA,COMERCIAL,rotura_tuberia,2024-06-23 12:00:00,2024-06-23 18:00:00,6
CTR-24-00102,24-CASCO ANTIGUO,COMERCIAL,degradacion_gradual,2024-06-28 08:00:00,2024-07-09 16:00:00,272
CTR-21-00103,21-ALIPARK,DOMESTICO,rotura_tuberia,2024-06-17 19:00:00,2024-06-19 09:00:00,38
CTR-13-00042,13-SAN GABRIEL,DOMESTICO,consumo_nocturno_anomalo,2024-07-05 14:00:00,2024-07-22 07:00:00,401
CTR-18-00112,18-CAROLINAS BAJAS,DOMESTICO,degradacion_gradual,2024-06-26 14:00:00,2024-07-07 17:00:00,267
CTR-17-00070,17-CAROLINAS ALTAS,DOMESTICO,rotura_tuberia,2024-06-23 13:00:00,2024-06-24 16:00:00,27
CTR-12-00053,12-POLIGONO BABEL,DOMESTICO,fuga_lenta_continua,2024-06-25 05:00:00,2024-07-03 10:00:00,197
CTR-11-00176,11-CIUDAD DE ASIS,DOMESTICO,degradacion_gradual,2024-06-21 21:00:00,2024-06-30 21:00:00,216
