Barrio,Uso,Fecha (aaaa/mm/dd),Consumo (litros),Nº Contratos
1-BENALUA,DOMESTICO,2022/01/31,"16,825,919","3,215"
1-BENALUA,NO DOMESTICO,2022/01/31,"5,301,069",321
1-BENALUA,DOMESTICO,2022/02/28,"17,567,536","3,258"
1-BENALUA,NO DOMESTICO,2022/02/28,"5,158,845",325
1-BENALUA,DOMESTICO,2022/03/31,"19,993,235","3,269"
1-BENALUA,NO DOMESTICO,2022/03/31,"5,756,806",326
1-BENALUA,DOMESTICO,2022/04/30,"19,658,881","3,246"
1-BENALUA,NO DOMESTICO,2022/04/30,"5,667,431",324
1-BENALUA,DOMESTICO,2022/05/31,"19,655,938","3,246"
1-BENALUA,NO DOMESTICO,2022/05/31,"5,073,668",324
1-BENALUA,DOMESTICO,2022/06/30,"22,433,985","3,230"
1-BENALUA,NO DOMESTICO,2022/06/30,"6,899,391",323
1-BENALUA,DOMESTICO,2022/07/31,"23,250,419","3,228"
1-BENALUA,NO DOMESTICO,2022/07/31,"7,773,659",322
1-BENALUA,DOMESTICO,2022/08/31,"24,734,308","3,259"
1-BENALUA,NO DOMESTICO,2022/08/31,"6,556,372",325
1-BENALUA,DOMESTICO,2022/09/30,"22,349,650","3,259"
1-BENALUA,NO DOMESTICO,2022/09/30,"6,070,700",325
1-BENALUA,DOMESTICO,2022/10/31,"19,436,848","3,298"
1-BENALUA,NO DOMESTICO,2022/10/31,"5,681,169",329
1-BENALUA,DOMESTICO,2022/11/30,"19,529,223","3,276"
1-BENALUA,NO DOMESTICO,2022/11/30,"5,841,722",327
1-BENALUA,DOMESTICO,2022/12/31,"17,313,700","3,271"
1-BENALUA,NO DOMESTICO,2022/12/31,"4,685,381",327
1-BENALUA,DOMESTICO,2023/01/31,"15,786,795","3,321"
1-BENALUA,NO DOMESTICO,2023/01/31,"4,231,536",332
1-BENALUA,DOMESTICO,2023/02/28,"18,844,978","3,331"
1-BENALUA,NO DOMESTICO,2023/02/28,"5,729,279",333
1-BENALUA,DOMESTICO,2023/03/31,"19,318,412","3,330"
1-BENALUA,NO DOMESTICO,2023/03/31,"5,110,018",333
1-BENALUA,DOMESTICO,2023/04/30,"20,109,910","3,320"
1-BENALUA,NO DOMESTICO,2023/04/30,"6,543,180",332
1-BENALUA,DOMESTICO,2023/05/31,"20,539,689","3,364"
1-BENALUA,NO DOMESTICO,2023/05/31,"6,314,148",336
1-BENALUA,DOMESTICO,2023/06/30,"23,679,079","3,350"
1-BENALUA,NO DOMESTICO,2023/06/30,"7,451,338",335
1-BENALUA,DOMESTICO,2023/07/31,"27,617,515","3,405"
1-BENALUA,NO DOMESTICO,2023/07/31,"7,717,654",340
1-BENALUA,DOMESTICO,2023/08/31,"25,928,265","3,372"
1-BENALUA,NO DOMESTICO,2023/08/31,"8,380,566",337
1-BENALUA,DOMESTICO,2023/09/30,"22,810,586","3,376"
1-BENALUA,NO DOMESTICO,2023/09/30,"6,226,422",337
1-BENALUA,DOMESTICO,2023/10/31,"21,263,728","3,363"
1-BENALUA,NO DOMESTICO,2023/10/31,"7,064,939",336
1-BENALUA,DOMESTICO,2023/11/30,"19,527,034","3,408"
1-BENALUA,NO DOMESTICO,2023/11/30,"6,013,441",340
1-BENALUA,DOMESTICO,2023/12/31,"17,597,946","3,400"
1-BENALUA,NO DOMESTICO,2023/12/31,"5,928,974",340
1-BENALUA,DOMESTICO,2024/01/31,"19,484,550","3,429"
1-BENALUA,NO DOMESTICO,2024/01/31,"4,608,169",342
1-BENALUA,DOMESTICO,2024/02/29,"18,992,801","3,466"
1-BENALUA,NO DOMESTICO,2024/02/29,"5,551,917",346
1-BENALUA,DOMESTICO,2024/03/31,"18,311,689","3,452"
1-BENALUA,NO DOMESTICO,2024/03/31,"5,393,838",345
1-BENALUA,DOMESTICO,2024/04/30,"23,103,770","3,470"
1-BENALUA,NO DOMESTICO,2024/04/30,"6,643,755",347
1-BENALUA,DOMESTICO,2024/05/31,"22,469,416","3,442"
1-BENALUA,NO DOMESTICO,2024/05/31,"7,230,266",344
1-BENALUA,DOMESTICO,2024/06/30,"24,842,281","3,488"
1-BENALUA,NO DOMESTICO,2024/06/30,"7,740,906",348
1-BENALUA,DOMESTICO,2024/07/31,"28,365,596","3,491"
1-BENALUA,NO DOMESTICO,2024/07/31,"8,029,438",349
1-BENALUA,DOMESTICO,2024/08/31,"25,858,562","3,487"
1-BENALUA,NO DOMESTICO,2024/08/31,"6,835,553",348
1-BENALUA,DOMESTICO,2024/09/30,"24,292,113","3,516"
1-BENALUA,NO DOMESTICO,2024/09/30,"7,278,174",351
1-BENALUA,DOMESTICO,2024/10/31,"19,811,850","3,509"
1-BENALUA,NO DOMESTICO,2024/10/31,"5,728,813",350
1-BENALUA,DOMESTICO,2024/11/30,"18,408,542","3,515"
1-BENALUA,NO DOMESTICO,2024/11/30,"5,443,551",351
1-BENALUA,DOMESTICO,2024/12/31,"19,739,186","3,548"
1-BENALUA,NO DOMESTICO,2024/12/31,"5,990,921",354
2-SAN ANTON,DOMESTICO,2022/01/31,"8,860,614","1,804"
2-SAN ANTON,NO DOMESTICO,2022/01/31,"2,245,159",180
2-SAN ANTON,DOMESTICO,2022/02/28,"9,235,344","1,804"
2-SAN ANTON,NO DOMESTICO,2022/02/28,"3,309,222",180
2-SAN ANTON,DOMESTICO,2022/03/31,"10,106,688","1,807"
2-SAN ANTON,NO DOMESTICO,2022/03/31,"3,011,874",180
2-SAN ANTON,DOMESTICO,2022/04/30,"11,005,896","1,795"
2-SAN ANTON,NO DOMESTICO,2022/04/30,"3,490,635",179
2-SAN ANTON,DOMESTICO,2022/05/31,"10,971,795","1,835"
2-SAN ANTON,NO DOMESTICO,2022/05/31,"3,650,951",183
2-SAN ANTON,DOMESTICO,2022/06/30,"12,687,725","1,801"
2-SAN ANTON,NO DOMESTICO,2022/06/30,"4,470,839",180
2-SAN ANTON,DOMESTICO,2022/07/31,"12,779,116","1,814"
2-SAN ANTON,NO DOMESTICO,2022/07/31,"3,855,776",181
