barrio,tipo_anomalia,year,month,water_table_depth_m,monthly_change_m,precip_mm,precip_adjusted_wt_change,water_table_zscore,wt_rising_anomaly,source
1-BENALUA,normal,2022,1,3.53,-0.427,25.3,-0.123,-0.52,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2022,2,3.8,-0.28,16.1,-0.087,-0.22,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2022,3,3.75,-0.315,22.0,-0.052,-0.28,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2022,4,3.52,-0.55,35.4,-0.125,-0.53,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2022,5,3.49,-0.488,24.7,-0.192,-0.57,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2022,6,4.0,-0.062,10.7,0.066,0.0,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2022,7,3.91,-0.093,9.9,0.025,-0.1,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2022,8,3.76,-0.21,9.5,-0.096,-0.27,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2022,9,3.3,-0.698,38.6,-0.235,-0.78,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2022,10,3.28,-0.701,47.6,-0.129,-0.8,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2022,11,3.47,-0.577,39.3,-0.105,-0.59,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2022,12,3.71,-0.354,16.6,-0.155,-0.32,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,1,3.61,-0.38,23.0,-0.104,-0.43,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,2,3.55,-0.405,23.0,-0.129,-0.5,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,3,3.75,-0.187,20.1,0.054,-0.28,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,4,3.68,-0.302,21.2,-0.047,-0.36,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,5,3.58,-0.501,27.5,-0.171,-0.47,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,6,4.0,-0.077,4.3,-0.026,0.0,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,7,3.9,-0.142,8.1,-0.045,-0.11,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,8,3.94,-0.084,6.2,-0.01,-0.07,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,9,3.43,-0.651,45.5,-0.105,-0.63,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,10,3.3,-0.635,46.5,-0.078,-0.78,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,11,3.43,-0.552,39.7,-0.075,-0.63,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2023,12,3.58,-0.394,22.4,-0.124,-0.47,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,1,3.78,-0.211,18.6,0.012,-0.24,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,2,3.76,-0.278,16.7,-0.077,-0.27,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,3,3.79,-0.165,16.2,0.03,-0.23,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,4,3.55,-0.485,30.6,-0.118,-0.5,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,5,3.49,-0.471,34.1,-0.062,-0.57,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,6,3.83,-0.126,6.7,-0.046,-0.19,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,7,3.8,-0.254,8.8,-0.148,-0.22,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,8,3.8,-0.231,15.8,-0.041,-0.22,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,9,3.47,-0.622,34.2,-0.211,-0.59,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,10,3.44,-0.615,48.6,-0.032,-0.62,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,11,3.45,-0.644,40.1,-0.162,-0.61,0,IGME SINAS Masa 080.006 (synthetic)
1-BENALUA,normal,2024,12,3.66,-0.398,27.0,-0.074,-0.38,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,1,3.92,-0.516,24.2,-0.226,-0.09,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,2,4.11,-0.377,24.0,-0.089,0.12,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,3,4.07,-0.362,19.9,-0.123,0.08,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,4,4.02,-0.457,34.8,-0.039,0.02,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,5,4.05,-0.391,33.7,0.013,0.06,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,6,4.45,-0.049,0.0,-0.049,0.5,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,7,4.41,-0.102,11.5,0.036,0.46,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,8,4.4,-0.067,10.1,0.054,0.44,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,9,3.95,-0.507,34.9,-0.089,-0.06,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,10,3.91,-0.647,45.2,-0.105,-0.1,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,11,3.89,-0.615,36.5,-0.177,-0.12,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2022,12,3.94,-0.536,27.4,-0.207,-0.07,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2023,1,3.93,-0.543,31.8,-0.161,-0.08,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2023,2,4.35,-0.227,8.0,-0.131,0.39,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2023,3,4.09,-0.367,18.8,-0.141,0.1,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2023,4,4.23,-0.231,17.9,-0.016,0.26,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2023,5,4.03,-0.438,21.6,-0.179,0.03,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2023,6,4.54,0.014,4.7,0.069,0.6,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2023,7,4.5,-0.033,6.2,0.042,0.56,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2023,8,4.46,-0.04,6.4,0.036,0.51,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2023,9,3.9,-0.605,45.3,-0.06,-0.11,0,IGME SINAS Masa 080.006 (synthetic)
