barrio,tipo_anomalia,year,month,lst_mean_c,lst_coldspot_delta_c,lst_neighbor_delta_c,thermal_coldspot_zscore,thermal_neighbor_zscore,cloud_cover_pct,n_valid_pixels,thermal_leak_flag,source
1-BENALUA,normal,2022,1,16.5,-0.74,0.85,0.42,0.85,22.4,125,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2022,2,14.7,-2.0,0.14,-0.72,0.14,19.7,192,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2022,3,14.7,-2.43,0.91,-1.12,0.91,15.0,238,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2022,4,20.9,-1.51,0.05,-0.28,0.05,30.8,123,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2022,5,25.7,-1.17,1.16,0.02,1.16,12.5,133,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2022,6,32.8,-1.89,-0.97,-0.63,-0.97,34.7,94,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2022,7,39.9,-2.45,0.06,-1.13,0.06,20.2,181,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2022,8,37.1,-0.38,0.21,0.74,0.21,17.8,171,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2022,9,31.9,-0.47,0.36,0.66,0.36,29.1,100,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2022,10,24.8,-0.8,-0.46,0.36,-0.46,23.0,164,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2022,11,17.0,-0.91,-0.77,0.26,-0.77,21.5,136,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2022,12,15.4,-1.74,-1.13,-0.49,-1.13,27.0,160,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,1,13.8,-0.85,0.43,0.32,0.43,6.9,236,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,2,15.1,-1.31,-0.05,-0.1,-0.05,15.4,182,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,3,19.0,-1.2,0.41,0.0,0.41,32.6,234,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,4,21.3,-1.61,0.32,-0.38,0.32,21.0,161,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,5,28.3,-1.72,-0.44,-0.48,-0.44,6.4,98,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,6,32.0,-2.05,-1.29,-0.77,-1.29,10.3,157,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,7,41.3,-0.82,0.92,0.34,0.92,29.7,176,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,8,37.6,-0.51,0.88,0.63,0.88,21.3,123,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,9,31.2,-1.17,0.51,0.03,0.51,23.3,174,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,10,25.8,-1.06,-0.05,0.13,-0.05,24.7,202,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,11,21.0,-0.92,-0.79,0.26,-0.79,24.4,129,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2023,12,14.5,-1.43,-0.75,-0.21,-0.75,30.9,169,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,1,12.4,-0.94,0.67,0.24,0.67,6.9,86,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,2,15.5,-1.49,0.34,-0.26,0.34,11.0,180,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,3,19.8,-0.77,0.8,0.39,0.8,27.9,174,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,4,22.0,-0.71,-1.32,0.44,-1.32,12.6,94,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,5,27.3,-1.83,-0.39,-0.57,-0.39,23.5,136,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,6,31.6,-1.35,-1.26,-0.13,-1.26,14.2,86,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,7,38.7,-0.76,-0.27,0.4,-0.27,6.1,144,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,8,38.9,-1.65,0.79,-0.41,0.79,26.6,229,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,9,31.0,-0.18,0.22,0.93,0.22,27.5,116,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,10,24.5,-1.44,1.28,-0.22,1.28,32.8,128,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,11,17.8,-0.73,0.99,0.43,0.99,13.4,106,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
1-BENALUA,normal,2024,12,15.7,-0.77,-1.05,0.39,-1.05,34.5,105,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,1,12.7,-0.76,0.46,0.4,0.46,6.6,146,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,2,16.1,-0.53,0.68,0.61,0.68,22.8,187,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,3,16.8,-0.09,-0.49,1.01,-0.49,20.9,98,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,4,20.6,-0.87,0.12,0.3,0.12,12.2,81,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,5,25.5,-0.7,-0.53,0.45,-0.53,24.8,220,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,6,32.3,-0.75,0.4,0.41,0.4,21.4,189,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,7,40.7,-1.68,0.9,-0.44,0.9,9.5,110,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,8,36.0,-0.07,-0.67,1.02,-0.67,30.9,235,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,9,32.3,-1.04,-0.44,0.15,-0.44,7.7,197,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,10,23.5,-0.84,-0.06,0.32,-0.06,5.4,245,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,11,18.0,-1.07,-2.18,0.12,-2.18,19.5,129,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2022,12,16.8,-0.85,-0.5,0.32,-0.5,15.8,245,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2023,1,13.5,-1.14,0.04,0.05,0.04,31.2,187,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
