cod_municipio;cod_provincia;cp;direccion;dormit_totales;estudio;fecha_alta;habdoble;habindi;municipio;nombre;numplazasdoble;numplazasindi;plazas_totales;provincia;ref_catastral;rural;signatura;superficie;web
14;3;;C CANALEJAS, 8 Pl:3 Pt:IZ;3.0;N;16/05/2018;3.0;0.0;ALACANT/ALICANTE;Vivienda 466830-A;6;0;6;ALICANTE/ALACANT;9770601YH1497B0006MW;N;CV-VUT0466830-A;;
14;3;3001.0;AV ALFONSO EL SABIO, 15, Es:1 Pl:04 Pt:DR;3.0;N;26/09/2017;3.0;0.0;ALACANT/ALICANTE;Vivienda 458741-A;6;0;6;ALICANTE/ALACANT;9775701YH1497F0009OK;N;CV-VUT0458741-A;108.0;
14;3;3001.0;AV ALFONSO EL SABIO, 15, Es:1 Pl:AT Pt:00;1.0;N;04/05/2018;1.0;0.0;ALACANT/ALICANTE;Vivienda 466300-A;2;0;2;ALICANTE/ALACANT;9775701YH1497F0013PL;N;CV-VUT0466300-A;25.0;
14;3;3001.0;AV ALFONSO EL SABIO, 17, Es:1 Pl:01 Pt:A;2.0;N;12/12/2016;2.0;0.0;ALACANT/ALICANTE;Vivienda 451753-A;4;0;4;ALICANTE/ALACANT;9774402YH1497D0003KJ;N;CV-VUT0451753-A;99.0;
14;3;3001.0;AV ALFONSO EL SABIO, 17, Es:1 Pl:02 Pt:A;3.0;N;05/06/2017;1.0;2.0;ALACANT/ALICANTE;Vivienda 456113-A;2;2;4;ALICANTE/ALACANT;9774402YH1497D0005BL;N;CV-VUT0456113-A;99.0;
14;3;3001.0;AV ALFONSO EL SABIO, 43, Es:1 Pl:02 Pt:A;3.0;N;20/07/2017;2.0;1.0;ALACANT/ALICANTE;Vivienda 457350-A;4;1;5;ALICANTE/ALACANT;9574801YH1497D0005BL;N;CV-VUT0457350-A;116.0;
14;3;3001.0;AV DR GADEA, 24, Es:1 Pl:06 Pt:A;3.0;N;25/11/2016;3.0;0.0;ALACANT/ALICANTE;Vivienda 451534-A;6;0;6;ALICANTE/ALACANT;9670401YH1497B0061FH;N;CV-VUT0451534-A;153.0;
14;3;3001.0;AV FEDERICO SOTO, 22, Es:1 Pl:06 Pt:DR;2.0;N;05/04/2018;2.0;0.0;ALACANT/ALICANTE;Vivienda 465147-A;4;0;4;ALICANTE/ALACANT;9473512YH1497C0015ZJ;N;CV-VUT0465147-A;87.0;
14;3;3001.0;CL ANGEL LOZANO, 14, Es:1 Pl:04 Pt:IZ;5.0;N;29/12/2017;5.0;0.0;ALACANT/ALICANTE;Vivienda 462218-A;10;0;10;ALICANTE/ALACANT;9674808YH1497D0010IZ;N;CV-VUT0462218-A;174.0;
14;3;3001.0;CL ANTONIO GALDO CHAPULI, 15, Es:1 Pl:+1 Pt:A;1.0;N;18/12/2017;1.0;0.0;ALACANT/ALICANTE;Vivienda 461435-A;2;0;2;ALICANTE/ALACANT;9771104YH1497B0012GT;N;CV-VUT0461435-A;44.0;
14;3;3001.0;CL ANTONIO GALDO CHAPULI, 15, Es:1 Pl:02 Pt:D;1.0;N;05/06/2017;1.0;0.0;ALACANT/ALICANTE;Vivienda 456173-A;2;0;2;ALICANTE/ALACANT;9771104YH1497B0010DE;N;CV-VUT0456173-A;32.0;
14;3;3001.0;CL BAILEN, 16, Bloque:C Es:1 Pl:01 Pt:F;4.0;N;10/08/2018;4.0;0.0;ALACANT/ALICANTE;Vivienda 470275-A;8;0;8;ALICANTE/ALACANT;9973905YH1497D0164ZJ;N;CV-VUT0470275-A;161.0;
14;3;3001.0;CL BAILEN, 18, Es:1 Pl:02 Pt:DR;1.0;N;18/07/2016;1.0;0.0;ALACANT/ALICANTE;Vivienda 449071-A;2;0;2;ALICANTE/ALACANT;9973912YH1497D0006FB;N;CV-VUT0449071-A;134.0;
14;3;3001.0;CL BAILEN, 18, Es:1 Pl:03 Pt:DR;2.0;N;07/06/2018;2.0;0.0;ALACANT/ALICANTE;Vivienda 468013-A;4;0;4;ALICANTE/ALACANT;9973912YH1497D0008HX;N;CV-VUT0468013-A;134.0;
14;3;3001.0;CL BAILEN, 3, Es:1 Pl:01 Pt:D;2.0;N;06/03/2017;2.0;0.0;ALACANT/ALICANTE;Vivienda 453451-A;4;0;4;ALICANTE/ALACANT;9972707YH1497B0013PY;N;CV-VUT0453451-A;76.0;
14;3;3001.0;CL BARON DE FINESTRAT, 13, Es:1 Pl:+1 Pt:01;3.0;N;21/11/2018;1.0;2.0;ALACANT/ALICANTE;Vivienda 472085-A;2;2;4;ALICANTE/ALACANT;9871509YH1497B0006LW;N;CV-VUT0472085-A;67.0;
14;3;3001.0;CL BARON DE FINESTRAT, 52, Es:1 Pl:01 Pt:01;6.0;N;17/03/2023;6.0;0.0;ALACANT/ALICANTE;Vivienda 496236-A;12;0;12;ALICANTE/ALACANT;9671605YH1497B0002XZ;N;CV-VUT0496236-A;90.0;
14;3;3001.0;CL BARON DE FINESTRAT, 52, Es:1 Pl:02 Pt:01;6.0;N;17/03/2023;6.0;0.0;ALACANT/ALICANTE;Vivienda 496238-A;12;0;12;ALICANTE/ALACANT;9671605YH1497B0003MX;N;CV-VUT0496238-A;90.0;
14;3;3001.0;CL BARON DE FINESTRAT, 52, Es:1 Pl:03 Pt:01;6.0;N;17/03/2023;6.0;0.0;ALACANT/ALICANTE;Vivienda 496239-A;12;0;12;ALICANTE/ALACANT;9671605YH1497B0004QM;N;CV-VUT0496239-A;90.0;
14;3;3001.0;CL BAZAN, 16, Es:T Pl:OD Pt:OS;1.0;S;24/05/2017;1.0;0.0;ALACANT/ALICANTE;Vivienda 455745-A;2;0;2;ALICANTE/ALACANT;9873812YH1497D0001DG;N;CV-VUT0455745-A;59.98;
14;3;3001.0;CL BAZAN, 16, Es:T Pl:OD Pt:OS;3.0;N;24/05/2017;3.0;0.0;ALACANT/ALICANTE;Vivienda 455743-A;6;0;6;ALICANTE/ALACANT;9873812YH1497D0001DG;N;CV-VUT0455743-A;176.0;
14;3;3001.0;CL BAZAN, 16, Es:T Pl:OD Pt:OS;3.0;N;24/05/2017;3.0;0.0;ALACANT/ALICANTE;Vivienda 455744-A;6;0;6;ALICANTE/ALACANT;9873812YH1497D0001DG;N;CV-VUT0455744-A;144.68;
14;3;3001.0;CL BAZAN, 20, Es:1 Pl:03 Pt:01;1.0;N;16/01/2015;1.0;0.0;ALACANT/ALICANTE;;2;0;2;ALICANTE/ALACANT;9873805YH1497D0065MG;N;CV-VUT0441794-A;48.0;
14;3;3001.0;CL BAZAN, 20, Es:1 Pl:03 Pt:02;1.0;N;16/01/2015;1.0;0.0;ALACANT/ALICANTE;;2;0;2;ALICANTE/ALACANT;9873805YH1497D0066QH;N;CV-VUT0441793-A;48.0;
14;3;3001.0;CL BAZAN, 20, Es:1 Pl:03 Pt:03;1.0;N;10/01/2018;1.0;0.0;ALACANT/ALICANTE;Vivienda 462532-A;2;0;2;ALICANTE/ALACANT;9873805YH1497D0067WJ;N;CV-VUT0462532-A;47.0;
14;3;3001.0;CL BAZAN, 20, Es:1 Pl:03 Pt:08;1.0;N;26/09/2015;1.0;0.0;ALACANT/ALICANTE;;2;0;2;ALICANTE/ALACANT;9873805YH1497D0072RL;N;CV-VUT0444414-A;39.0;
14;3;3001.0;CL BAZAN, 20, Es:1 Pl:04 Pt:01;1.0;N;09/04/2018;1.0;0.0;ALACANT/ALICANTE;;2;0;2;ALICANTE/ALACANT;9873805YH1497D0075UX;N;CV-VUT0465238-A;48.0;
14;3;3001.0;CL BAZAN, 20, Es:1 Pl:04 Pt:08;1.0;N;01/08/2016;1.0;0.0;ALACANT/ALICANTE;Vivienda 449304-A;2;0;2;ALICANTE/ALACANT;9873805YH1497D0082AE;N;CV-VUT0449304-A;53.0;
14;3;3001.0;CL BAZAN, 20, Es:1 Pl:07 Pt:01;2.0;N;13/11/2017;2.0;0.0;ALACANT/ALICANTE;Vivienda 459800-A;4;0;4;ALICANTE/ALACANT;9873805YH1497D0088JO;N;CV-VUT0459800-A;93.0;
14;3;3001.0;CL BAZAN, 20, Es:1 Pl:07 Pt:03;1.0;N;07/11/2017;1.0;0.0;ALACANT/ALICANTE;Vivienda 459701-A;2;0;2;ALICANTE/ALACANT;9873805YH1497D0098QH;N;CV-VUT0459701-A;78.0;
14;3;3001.0;CL BAZAN, 20, Es:1 Pl:07 Pt:07;1.0;N;25/07/2014;1.0;0.0;ALACANT/ALICANTE;Vivienda 440774-A;2;0;2;ALICANTE/ALACANT;9873805YH1497D0102RL;N;CV-VUT0440774-A;76.0;
14;3;3001.0;CL BAZAN, 20, Es:1 Pl:07 Pt:08;2.0;N;26/01/2018;2.0;0.0;ALACANT/ALICANTE;Vivienda 463133-A;4;0;4;ALICANTE/ALACANT;9873805YH1497D0103TB;N;CV-VUT0463133-A;70.0;
